"B","j","proj_lambda","delta_lambda","psi_proj","psi_delta","se_proj","se_delta","lower_proj","upper_proj","lower_delta","upper_delta"
1,1,0.474004960472212,0.474004960472212,1.74732898331109,1.74711697339871,0.222569477648582,0.154481733851145,1.31109280711987,2.18356515950231,1.44433277505046,2.04990117174695
1,2,0.452460703468804,0.452460703468804,1.74733320120601,1.74711697301609,0.222566786214503,0.154497490467529,1.31110230022559,2.18356410218644,1.44430189169973,2.04993205433245
1,3,0.431895666196275,0.431895666196275,1.74728982407218,1.74711810966084,0.222568657462267,0.153840298295317,1.31105525544614,2.18352439269822,1.44559112500202,2.04864509431966
1,4,0.412265341606589,0.412265341606589,1.74729153120725,1.74784201813247,0.222568344038044,0.153832162991284,1.31105757689268,2.18352548552181,1.44633097866955,2.04935305759539
1,5,0.393527245565733,0.393527245565733,1.74728295925177,1.74711977682892,0.222568016240165,0.15361749188166,1.31104964742105,2.1835162710825,1.44602949274087,2.04821006091697
1,6,0.375640824909153,0.375640824909153,1.74741166097713,1.79976285910491,0.222547157529991,0.162676159275201,1.31121923221835,2.18360408973591,1.48091758692551,2.1186081312843
1,7,0.35856736967621,0.35856736967621,1.74757964211852,1.83548223211314,0.222528973828738,0.163367516715695,1.3114228534142,2.18373643082285,1.51528189935038,2.1556825648759
1,8,0.34226992933372,0.34226992933372,1.74757356520568,1.82528343884098,0.222530060384981,0.163235743420151,1.31141464685112,2.18373248356024,1.50534138173748,2.14522549594447
1,9,0.326713232807257,0.326713232807257,1.74757327633253,1.82528394084159,0.22253008140215,0.163231509486684,1.31141431678431,2.18373223588074,1.50535018224769,2.14521769943549
1,10,0.311863612147166,0.311863612147166,1.74753530015654,1.8279713268211,0.222523969183974,0.164184606190739,1.31138832055595,2.18368227975713,1.50616949868725,2.14977315495495
1,11,0.297688929664062,0.297688929664062,1.747535949052,1.82555219977663,0.222524020504721,0.16447910818921,1.31138886886275,2.18368302924125,1.50317314772578,2.14793125182748
1,12,0.284158508376144,0.284158508376144,1.74754605390992,1.82554501283387,0.22252422754323,0.164412360340636,1.31139856792519,2.18369353989465,1.50329678656622,2.14779323910152
1,13,0.271243065617777,0.271243065617777,1.74753885130133,1.82554508571599,0.222523812963137,0.164369463498352,1.31139217789358,2.18368552470908,1.50338093725922,2.14770923417276
2,1,0.254838127687616,0.254838127687616,1.49093133988403,1.53051292033058,0.164981449806462,0.1412196135143,1.16756769826336,1.81429498150469,1.25372247784255,1.80730336281861
2,2,0.243255341482805,0.243255341482805,1.49052107988506,1.52914281017769,0.164969908163382,0.140881484058318,1.16718005988483,1.81386209988529,1.25301510142339,1.805270518932
2,3,0.232199010787159,0.232199010787159,1.49063071272748,1.5291428120731,0.164971912101376,0.140879828216837,1.16728576500878,1.81397566044617,1.2530183487681,1.8052672753781
2,4,0.221645207385287,0.221645207385287,1.49040055102441,1.52913309165948,0.165138906673758,0.142984657679996,1.16672829394384,1.81407280810497,1.24888316260669,1.80938302071227
2,5,0.211571090636118,0.211571090636118,1.49212434821724,1.5291329480984,0.165210325516823,0.142909705738937,1.16831211020427,1.81593658623022,1.24902992485009,1.80923597134672
2,6,0.201954858040968,0.201954858040968,1.49210656227583,1.52913381704067,0.165192172419227,0.142872438851197,1.16832990433414,1.81588322021751,1.24910383689232,1.80916379718901
2,7,0.192775698058365,0.192775698058365,1.49260996524037,1.52913156718878,0.16519801954472,0.14224997620999,1.16882184693272,1.81639808354803,1.2503216138172,1.80794152056036
2,8,0.18401374506352,0.18401374506352,1.49271214898113,1.52913157491575,0.165241030504588,0.14225458765297,1.16883972919214,1.81658456877013,1.25031258311593,1.80795056671557
2,9,0.175650036354948,0.175650036354948,1.4932935247014,1.52912883363136,0.165347486489563,0.142937021109786,1.16921245118185,1.81737459822094,1.24897227225618,1.80928539500655
2,10,0.16766647111521,0.16766647111521,1.49341668184544,1.52912804576001,0.165362202652724,0.143290140650155,1.1693067646461,1.81752659904477,1.24827937008571,1.80997672143431
3,1,0.296128413469395,0.296128413469395,1.40603687264936,1.44349281902034,0.176871245293654,0.148130762025706,1.0593692318738,1.75270451342492,1.15315652544996,1.73382911259073
3,2,0.282668920050928,0.282668920050928,1.40597069738603,1.44349281618729,0.176861220076457,0.148180040731666,1.05932270603617,1.75261868873589,1.15305993635322,1.73392569602135
3,3,0.269821181380881,0.269821181380881,1.40595475729653,1.42910763144036,0.176687266545799,0.15073520762723,1.05964771486676,1.7522617997263,1.13366662449099,1.72454863838973
3,4,0.257557392261793,0.257557392261793,1.40600510984629,1.43106505656745,0.176668806892561,0.150548734719569,1.05973424833687,1.75227597135571,1.1359895365171,1.72614057661781
3,5,0.245851011285341,0.245851011285341,1.40577969461902,1.44347329842301,0.176569616425223,0.15193395733682,1.05970324642559,1.75185614281246,1.14568274204284,1.74126385480318
3,6,0.234676703391173,0.234676703391173,1.40634671018741,1.44346852727162,0.176555255818395,0.151123741738615,1.06029840878335,1.75239501159146,1.14726599346393,1.7396710610793
3,7,0.224010285036531,0.224010285036531,1.4066869493503,1.44346843458325,0.176559468571297,0.151247307881444,1.06063039095056,1.75274350775004,1.14702371113562,1.73991315803088
3,8,0.213828671857999,0.213828671857999,1.40576167491063,1.44346843632735,0.176573784618415,0.151143311841116,1.05967705705854,1.75184629276272,1.14722754511876,1.73970932753594
3,9,0.204109828712102,0.204109828712102,1.40585165307038,1.44279591753106,0.176576590015219,0.151246612711905,1.05976153664055,1.75194176950021,1.14635255661572,1.73923927844639
3,10,0.194832721986649,0.194832721986649,1.40366469121301,1.39852797992035,0.176340525020757,0.147646270526095,1.05803726217233,1.7492921202537,1.1091412896892,1.6879146701515
3,11,0.18597727407958,0.18597727407958,1.40364201152059,1.40349286658637,0.176337354023573,0.14830580746876,1.05802079763438,1.74926322540679,1.1128134839476,1.69417224922514
3,12,0.177524319946838,0.177524319946838,1.40392673478497,1.39991261648379,0.176340800135938,0.148263554570105,1.05829876651853,1.7495547030514,1.10931604952638,1.69050918344119
3,13,0.169455565625195,0.169455565625195,1.40393702736344,1.39479499938131,0.176313407344414,0.1484694764612,1.05836274896839,1.74951130575849,1.10379482551736,1.68579517324527
3,14,0.161753548640288,0.161753548640288,1.40384296978306,1.39479244705446,0.176302602077132,0.148477274718691,1.05828986971188,1.74939606985424,1.10377698860583,1.6858079055031
3,15,0.154401600214162,0.154401600214162,1.40385615035006,1.39550285965297,0.176316798006272,0.14863437407288,1.05827522625776,1.74943707444235,1.10417948647012,1.68682623283582
3,16,0.147383809190546,0.147383809190546,1.40475669451488,1.39039142273782,0.176364809841769,0.149048751626119,1.05908166722502,1.75043172180475,1.09825586955063,1.68252697592502
3,17,0.140684987599778,0.140684987599778,1.40553941771088,1.40631679932485,0.176560602932886,0.162233615898357,1.05948063596242,1.75159819945934,1.08833891216407,1.72429468648563
4,1,0.358624944104629,0.358624944104629,1.69419895068189,1.54272920151344,0.229230329994227,0.145246510386904,1.2449075038932,2.14349039747057,1.25804604115511,1.82741236187177
4,2,0.34232488691551,0.34232488691551,1.66732499975601,1.63812295143132,0.215492253275506,0.170523468778054,1.24496018333602,2.089689816176,1.30389695262634,1.97234895023631
4,3,0.326765692482137,0.326765692482137,1.6738153161084,1.64804362210135,0.217905295640885,0.166495178086714,1.24672093665227,2.10090969556454,1.32171307305139,1.9743741711513
4,4,0.311913687448859,0.311913687448859,1.67284322185776,1.64729981033204,0.218182233524358,0.167071051313944,1.24520604415002,2.1004803995655,1.31984054975671,1.97475907090737
4,5,0.29773672896601,0.29773672896601,1.66957136197935,1.64735582091715,0.218256928335454,0.167175518376359,1.24178778244186,2.09735494151684,1.31969180489949,1.97501983693482
