"B","j","proj_lambda","delta_lambda","psi_proj","psi_delta","se_proj","se_delta","lower_proj","upper_proj","lower_delta","upper_delta"
1,1,0.408700577478333,0.408700577478333,1.93523059937275,1.93191306965107,0.216725958096968,0.172014662003814,1.51044772150269,2.36001347724281,1.59476433212359,2.26906180717855
1,2,0.390124505468743,0.390124505468743,1.93427921314299,1.93191306469649,0.216713697835963,0.172021974422103,1.50952036538451,2.35903806090148,1.59474999482917,2.26907613456381
1,3,0.37239274460115,0.37239274460115,1.93465202428244,1.93471938444345,0.216719755551737,0.171738589302718,1.50988130340103,2.35942274516384,1.59811174941013,2.27132701947678
1,4,0.355466919631092,0.355466919631092,1.93428392467338,1.93262449983105,0.216726011193879,0.171623655418338,1.50950094273338,2.35906690661338,1.59624213521111,2.26900686445099
1,5,0.339310399528195,0.339310399528195,1.93635772401686,1.94003027715807,0.216291540480131,0.172986136812854,1.5124263046758,2.36028914335792,1.60097744900488,2.27908310531127
1,6,0.323888218198949,0.323888218198949,1.93578574232737,2.00601233170006,0.216192286794932,0.179649108197078,1.5120488602093,2.35952262444543,1.65390007963378,2.35812458376633
1,7,0.309166998812758,0.309166998812758,1.93538698892729,1.99082491548492,0.21626133988442,0.179958779460536,1.51151476275383,2.35925921510075,1.63810570774227,2.34354412322757
1,8,0.295114881567489,0.295114881567489,1.93537609334668,1.98922182538283,0.216265308361203,0.179903047124254,1.51149608895872,2.35925609773464,1.63661185301929,2.34183179774637
1,9,0.281701454738187,0.281701454738187,1.93513949688179,1.99001313643774,0.21623556765066,0.180516622178522,1.5113177842865,2.35896120947709,1.63620055696784,2.34382571590764
1,10,0.26889768885973,0.26889768885973,1.9352573298361,1.98287881666265,0.216229787122075,0.180932560846564,1.51144694707684,2.35906771259537,1.62825099740338,2.33750663592191
1,11,0.256675873900989,0.256675873900989,1.93525026944255,1.98368863798398,0.216230916502424,0.180914661552747,1.5114376730978,2.3590628657873,1.62909590134059,2.33828137462736
1,12,0.245009559294517,0.245009559294517,1.93532438646017,1.98368859089171,0.216229869383741,0.180916582741456,1.51151384246804,2.3591349304523,1.62909208871846,2.33828509306497
1,13,0.233873496691977,0.233873496691977,1.93466718643298,1.98807932762502,0.216248709777515,0.179463902835088,1.51081971526905,2.35851465759691,1.63633007806825,2.33982857718179
2,1,0.261206835195718,0.261206835195718,1.52087549594651,1.56159590813552,0.164094463734448,0.147761113145309,1.19925034702699,1.84250064486602,1.27198412637072,1.85120768990033
2,2,0.249334581405594,0.249334581405594,1.52088145210372,1.56159584671067,0.164094594157832,0.147736309884052,1.19925604755437,1.84250685665307,1.27203267933793,1.85115901408341
2,3,0.238001939873135,0.238001939873135,1.52201120223601,1.55626732322261,0.164180563901477,0.147315906273,1.20021729698912,1.84380510748291,1.26752814692753,1.84500649951769
2,4,0.227184384388423,0.227184384388423,1.52205393710264,1.559528609917,0.16423190819632,0.14807605842852,1.20015939703786,1.84394847716743,1.2692995353971,1.8497576844369
2,5,0.216858503495638,0.216858503495638,1.52295754747179,1.55753163826531,0.164239619243009,0.148092289416577,1.20104789375549,1.84486720118809,1.26727075100882,1.8477925255218
2,6,0.207001949825756,0.207001949825756,1.52295754747179,1.55686600409253,0.164239619243009,0.148101796850177,1.20104789375549,1.84486720118809,1.26658648226618,1.84714552591887
2,7,0.197593391732166,0.197593391732166,1.5228335960708,1.55686596414893,0.16426161867748,0.148105259624505,1.20088082346294,1.84478636867866,1.2665796552849,1.84715227301296
2,8,0.188612467124516,0.188612467124516,1.52422463787725,1.55882392560452,0.164338693503313,0.14786477994622,1.20212079861076,1.84632847714375,1.26900895690993,1.84863889429911
2,9,0.180039739400888,0.180039739400888,1.52447877470027,1.55882392954903,0.164342277801441,0.147862117999364,1.20236791020945,1.8465896391911,1.26901417827028,1.84863368082779
2,10,0.171856655382917,0.171856655382917,1.52458212571321,1.55815195253004,0.164351581198331,0.147834553612094,1.20245302656448,1.84671122486193,1.26839622745034,1.84790767760975
2,11,0.164045505162828,0.164045505162828,1.52720948164272,1.5561389362604,0.164275824532659,0.148084200200689,1.20522886555871,1.84919009772673,1.26589390386705,1.84638396865374
2,12,0.156589383775488,0.156589383775488,1.52717339810993,1.55747726073943,0.164273008514875,0.148167053008254,1.20519830142077,1.84914849479908,1.26706983684325,1.84788468463561
2,13,0.14947215461252,0.14947215461252,1.52721632618951,1.55249649755399,0.164274927451477,0.147318353573563,1.20523746838461,1.8491951839944,1.26375252454981,1.84124047055818
2,14,0.1426784144993,0.1426784144993,1.52678677612422,1.55452932726971,0.164292411608074,0.147522459713089,1.20477364937239,1.84879990287604,1.26538530623206,1.84367334830736
2,15,0.136193460359264,0.136193460359264,1.52738625861686,1.55452944187532,0.164394837838254,0.147726424388359,1.20517237645389,1.84960014077984,1.26498565007414,1.84407323367651
2,16,0.13000325739337,0.13000325739337,1.52742093038511,1.55452810697245,0.16440143183756,0.147726278941729,1.20519412398349,1.84964773678673,1.26498460024666,1.84407161369824
3,1,0.473165270237174,0.473165270237174,1.43668250178957,1.47882062345513,0.17115221418941,0.143260701928279,1.10122416197832,1.77214084160081,1.1980296476757,1.75961159923455
3,2,0.451659178450874,0.451659178450874,1.43767108071581,1.44321741618157,0.170866422658368,0.146611608359528,1.10277289230541,1.77256926912621,1.15585866379689,1.73057616856624
3,3,0.431130571727434,0.431130571727434,1.43785491896403,1.44920043368066,0.170829246683613,0.146097656664784,1.10302959546415,1.77268024246391,1.16284902661768,1.73555184074364
3,4,0.411535021862156,0.411535021862156,1.43781893223469,1.44368817687654,0.170827185755797,0.146385022671616,1.10299764815332,1.77264021631605,1.15677353244018,1.73060282131291
3,5,0.392830119980815,0.392830119980815,1.4365983883709,1.44236618427704,0.170845877882164,0.146269729204084,1.10174046772185,1.77145630901994,1.15567751503703,1.72905485351704
3,6,0.37497538475797,0.37497538475797,1.4368856463968,1.4430271770551,0.170849119974602,0.146318208704826,1.10202137124658,1.77174992154701,1.15624348799364,1.72981086611656
3,7,0.357932174806898,0.357932174806898,1.43638662799668,1.44596986751544,0.17085443811989,0.145509900605303,1.1015119292817,1.77126132671167,1.16077046232905,1.73116927270183
3,8,0.341663605051538,0.341663605051538,1.43647048415325,1.44268280616685,0.170796864107549,0.145640712208993,1.10170863050245,1.77123233780405,1.15722701023722,1.72813860209647
3,9,0.326134466899464,0.326134466899464,1.43681257713917,1.48594992889752,0.171015135974005,0.154468738196871,1.10162291063012,1.77200224364823,1.18319120203165,1.78870865576339
4,1,0.52599463231351,0.52599463231351,1.57212914589212,1.45407243978087,0.230966282938409,0.138375390573322,1.11943523133284,2.0248230604514,1.18285667425716,1.72528820530458
4,2,0.50208736448727,0.50208736448727,1.55000137666904,1.54110992839951,0.216957897745724,0.15856740240509,1.12476389708742,1.97523885625066,1.23031781968553,1.85190203711348
4,3,0.479266718880731,0.479266718880731,1.54986258715199,1.53867866687512,0.217040041844827,0.158803860117205,1.12446410513613,1.97526106916785,1.2274231010454,1.84993423270484
4,4,0.457483306836983,0.457483306836983,1.5497437102446,1.53867866736418,0.217023052256138,0.158803429254944,1.12437852782257,1.97510889266663,1.22742394602449,1.84993338870387
4,5,0.436689984489794,0.436689984489794,1.54959363391112,1.53623949095997,0.21714209617564,0.159204157291708,1.12399512540687,1.97519214241538,1.22419934266822,1.84827963925172
4,6,0.416841750734413,0.416841750734413,1.55002810750033,1.53624281033284,0.217150733240821,0.159123260826932,1.12441267034832,1.97564354465234,1.22436121911205,1.84812440155363
4,7,0.397895649835751,0.397895649835751,1.55003253015208,1.53624283172296,0.217150617141475,0.159123432117868,1.12441732055479,1.97564773974937,1.22436090477194,1.84812475867398
4,8,0.379810678463174,0.379810678463174,1.55005255274378,1.53301378980434,0.217139731378949,0.159183968417271,1.12445867924104,1.97564642624652,1.22101321170649,1.84501436790219
5,1,0.0801026985945545,0.0801026985945545,2.23048317716786,2.30961949951775,0.310817854020244,0.261141176129216,1.62128018328818,2.83968617104754,1.79778279430449,2.82145620473101
5,2,0.0764619073178801,0.0764619073178801,2.23821468973938,2.298451844107,0.311018378236334,0.303822074244205,1.62861866839616,2.84781071108259,1.70296057858836,2.89394310962565
5,3,0.0729865956237026,0.0729865956237026,2.23812767264141,2.29845181230731,0.311025173457557,0.303842385319746,1.6285183326646,2.84773701261822,1.70292073708061,2.89398288753402
5,4,0.0696692422096067,0.0696692422096067,2.23858590427142,2.2897689099983,0.310951650541319,0.302311236111511,1.62912066921044,2.84805113933241,1.69723888721974,2.88229893277686
5,5,0.0665026676279796,0.0665026676279796,2.24057327646195,2.28721342969229,0.311201991026477,0.300512789417581,1.63061737405006,2.85052917887385,1.69820836243383,2.87621849695075
5,6,0.0634800187481828,0.0634800187481828,2.24144385851096,2.28973154006698,0.311196518976711,0.301250877299979,1.63149868131661,2.85138903570531,1.69927982055902,2.88018325957494
5,7,0.0605947539249422,0.0605947539249422,2.2412307976537,2.28970760979115,0.311185664039316,0.301010516995044,1.63130689613664,2.85115469917076,1.69972699648086,2.87968822310144
