"n","B","j","proj_lambda","delta_lambda","psi_proj","psi_delta","se_proj","se_delta","lower_proj","upper_proj","lower_delta","upper_delta"
500,1,1,0.474004960472212,0.474004960472212,1.74732898331109,1.74711697339871,0.222569477648582,0.154481733851145,1.31109280711987,2.18356515950231,1.44433277505046,2.04990117174695
500,1,2,0.452460703468804,0.452460703468804,1.74733320120601,1.74711697301609,0.222566786214503,0.154497490467529,1.31110230022559,2.18356410218644,1.44430189169973,2.04993205433245
500,1,3,0.431895666196275,0.431895666196275,1.74728982407218,1.74711810966084,0.222568657462267,0.153840298295317,1.31105525544614,2.18352439269822,1.44559112500202,2.04864509431966
500,1,4,0.412265341606589,0.412265341606589,1.74729153120725,1.74784201813247,0.222568344038044,0.153832162991284,1.31105757689268,2.18352548552181,1.44633097866955,2.04935305759539
500,1,5,0.393527245565733,0.393527245565733,1.74728295925177,1.74711977682892,0.222568016240165,0.15361749188166,1.31104964742105,2.1835162710825,1.44602949274087,2.04821006091697
500,1,6,0.375640824909153,0.375640824909153,1.74741166097713,1.79976285910491,0.222547157529991,0.162676159275201,1.31121923221835,2.18360408973591,1.48091758692551,2.1186081312843
500,1,7,0.35856736967621,0.35856736967621,1.74757964211852,1.83548223211314,0.222528973828738,0.163367516715695,1.3114228534142,2.18373643082285,1.51528189935038,2.1556825648759
500,1,8,0.34226992933372,0.34226992933372,1.74757356520568,1.82528343884098,0.222530060384981,0.163235743420151,1.31141464685112,2.18373248356024,1.50534138173748,2.14522549594447
500,1,9,0.326713232807257,0.326713232807257,1.74757327633253,1.82528394084159,0.22253008140215,0.163231509486684,1.31141431678431,2.18373223588074,1.50535018224769,2.14521769943549
500,2,1,0.254838127687616,0.254838127687616,1.49093133988403,1.53051292033058,0.164981449806462,0.1412196135143,1.16756769826336,1.81429498150469,1.25372247784255,1.80730336281861
500,2,2,0.243255341482805,0.243255341482805,1.49052107988506,1.52914281017769,0.164969908163382,0.140881484058318,1.16718005988483,1.81386209988529,1.25301510142339,1.805270518932
500,2,3,0.232199010787159,0.232199010787159,1.49063071272748,1.5291428120731,0.164971912101376,0.140879828216837,1.16728576500878,1.81397566044617,1.2530183487681,1.8052672753781
500,2,4,0.221645207385287,0.221645207385287,1.49040055102441,1.52913309165948,0.165138906673758,0.142984657679996,1.16672829394384,1.81407280810497,1.24888316260669,1.80938302071227
500,2,5,0.211571090636118,0.211571090636118,1.49212434821724,1.5291329480984,0.165210325516823,0.142909705738937,1.16831211020427,1.81593658623022,1.24902992485009,1.80923597134672
500,2,6,0.201954858040968,0.201954858040968,1.49210656227583,1.52913381704067,0.165192172419227,0.142872438851197,1.16832990433414,1.81588322021751,1.24910383689232,1.80916379718901
500,2,7,0.192775698058365,0.192775698058365,1.49260996524037,1.52913156718878,0.16519801954472,0.14224997620999,1.16882184693272,1.81639808354803,1.2503216138172,1.80794152056036
500,3,1,0.296128413469395,0.296128413469395,1.40603687264936,1.44349281902034,0.176871245293654,0.148130762025706,1.0593692318738,1.75270451342492,1.15315652544996,1.73382911259073
500,3,2,0.282668920050928,0.282668920050928,1.40597069738603,1.44349281618729,0.176861220076457,0.148180040731666,1.05932270603617,1.75261868873589,1.15305993635322,1.73392569602135
500,3,3,0.269821181380881,0.269821181380881,1.40595475729653,1.42910763144036,0.176687266545799,0.15073520762723,1.05964771486676,1.7522617997263,1.13366662449099,1.72454863838973
500,3,4,0.257557392261793,0.257557392261793,1.40600510984629,1.43106505656745,0.176668806892561,0.150548734719569,1.05973424833687,1.75227597135571,1.1359895365171,1.72614057661781
500,3,5,0.245851011285341,0.245851011285341,1.40577969461902,1.44347329842301,0.176569616425223,0.15193395733682,1.05970324642559,1.75185614281246,1.14568274204284,1.74126385480318
500,3,6,0.234676703391173,0.234676703391173,1.40634671018741,1.44346852727162,0.176555255818395,0.151123741738615,1.06029840878335,1.75239501159146,1.14726599346393,1.7396710610793
500,3,7,0.224010285036531,0.224010285036531,1.4066869493503,1.44346843458325,0.176559468571297,0.151247307881444,1.06063039095056,1.75274350775004,1.14702371113562,1.73991315803088
500,3,8,0.213828671857999,0.213828671857999,1.40576167491063,1.44346843632735,0.176573784618415,0.151143311841116,1.05967705705854,1.75184629276272,1.14722754511876,1.73970932753594
500,3,9,0.204109828712102,0.204109828712102,1.40585165307038,1.44279591753106,0.176576590015219,0.151246612711905,1.05976153664055,1.75194176950021,1.14635255661572,1.73923927844639
500,3,10,0.194832721986649,0.194832721986649,1.40366469121301,1.39852797992035,0.176340525020757,0.147646270526095,1.05803726217233,1.7492921202537,1.1091412896892,1.6879146701515
500,4,1,0.358624944104629,0.358624944104629,1.69419895068189,1.54272920151344,0.229230329994227,0.145246510386904,1.2449075038932,2.14349039747057,1.25804604115511,1.82741236187177
500,4,2,0.34232488691551,0.34232488691551,1.66732499975601,1.63812295143132,0.215492253275506,0.170523468778054,1.24496018333602,2.089689816176,1.30389695262634,1.97234895023631
500,4,3,0.326765692482137,0.326765692482137,1.6738153161084,1.64804362210135,0.217905295640885,0.166495178086714,1.24672093665227,2.10090969556454,1.32171307305139,1.9743741711513
500,4,4,0.311913687448859,0.311913687448859,1.67284322185776,1.64729981033204,0.218182233524358,0.167071051313944,1.24520604415002,2.1004803995655,1.31984054975671,1.97475907090737
500,4,5,0.29773672896601,0.29773672896601,1.66957136197935,1.64735582091715,0.218256928335454,0.167175518376359,1.24178778244186,2.09735494151684,1.31969180489949,1.97501983693482
500,4,6,0.284204135126048,0.284204135126048,1.67152361113824,1.6399201028689,0.219389275868986,0.167802247107392,1.24152063043503,2.10152659184145,1.31102769853841,1.96881250719938
500,4,7,0.27128661856148,0.27128661856148,1.66572787711142,1.63992100825561,0.219285790472423,0.16767462691903,1.23592772778547,2.09552802643737,1.31127873949431,1.96856327701691
500,4,8,0.258956223060869,0.258956223060869,1.66236703934684,1.63899876221735,0.219461779033826,0.167881818789804,1.23222195244054,2.09251212625314,1.30995039738933,1.96804712704536
500,4,9,0.24718626306573,0.24718626306573,1.66247425940592,1.63899894475026,0.219454715205471,0.167885220910232,1.2323430176032,2.09260550120864,1.30994391176621,1.96805397773432
500,5,1,0.182221090464099,0.182221090464099,1.92195634134541,1.94351001150941,0.302939762558131,0.195973595002112,1.32819440673148,2.51571827595935,1.55940176530528,2.32761825771355
500,5,2,0.173938860673742,0.173938860673742,1.92199435927909,1.93579473245797,0.302946584792885,0.195686899771791,1.32821905308503,2.51576966547314,1.55224840890525,2.31934105601068
500,5,3,0.166033071009638,0.166033071009638,1.92199435927909,1.935794083787,0.302946584792885,0.195686739318458,1.32821905308503,2.51576966547314,1.55224807472282,2.31934009285118
500,5,4,0.158486611687075,0.158486611687075,1.92198967161765,1.94490238569812,0.302937163344518,0.197415270616109,1.32823283146239,2.5157465117729,1.55796845529054,2.33183631610569
500,5,5,0.151283150587461,0.151283150587461,1.92196597415049,1.9449012122258,0.302936847906069,0.197417991704006,1.32820975225459,2.51572219604638,1.55796194848595,2.33184047596565
500,5,6,0.1444070979122,0.1444070979122,1.92171749514805,1.94881032526517,0.302875427088394,0.197882473594296,1.3280816580548,2.5153533322413,1.56096067702035,2.33665997351
500,5,7,0.137843572443105,0.137843572443105,1.92171835228316,1.94882236964154,0.302875409966937,0.198010051582659,1.32808254874797,2.51535415581836,1.56072266853953,2.33692207074355
500,5,8,0.13157836933632,0.13157836933632,1.92174742009276,1.95118237739113,0.302874770883382,0.199845837140986,1.32811286916133,2.51538197102419,1.55948453659479,2.34288021818746
500,5,9,0.125597929380065,0.125597929380065,1.92193575079657,1.92634806523709,0.302925432754176,0.197090538272933,1.32820190259839,2.51566959899476,1.54005061022214,2.31264552025204
500,5,10,0.119889309649663,0.119889309649663,1.92207345448097,1.93069232685034,0.302930194923247,0.199144516211491,1.32833027243141,2.51581663653054,1.54036907507582,2.32101557862486
500,5,11,0.114440155496339,0.114440155496339,1.92210006011577,1.94255316104726,0.302915964990505,0.198303260692044,1.32838476873438,2.51581535149716,1.55387877009085,2.33122755200367
500,5,12,0.10923867380917,0.10923867380917,1.92210751382548,1.94147527002604,0.302916048901068,0.198189045395686,1.32839205797938,2.51582296967157,1.5530247410505,2.32992579900159
500,6,1,0.386061418254132,0.386061418254132,1.3704811879029,1.35750340079775,0.16757216339991,0.148502133915741,1.04203974763907,1.69892262816672,1.0664392183229,1.6485675832726
500,6,2,0.36851433097116,0.36851433097116,1.37050325088096,1.35750863580758,0.167572826428031,0.148258040414667,1.04206051108202,1.6989459906799,1.06692287659484,1.64809439502033
