"B","j","proj_lambda","delta_lambda","psi_proj","psi_delta","se_proj","se_delta","lower_proj","upper_proj","lower_delta","upper_delta"
1,1,0.836316622084365,0.836316622084365,4.85884541461054,5.17515721128044,1.03546454512793,0.811453749341976,2.82933490615981,6.88835592306127,3.58470786257016,6.76560655999071
1,2,0.798304740891269,0.798304740891269,4.67424323960308,5.17467202313018,1.01533201382703,0.812276920166461,2.6841924925021,6.66429398670405,3.58260925960392,6.76673478665645
1,3,0.762020558363586,0.762020558363586,4.69972444549864,5.17460936568953,1.03025987191351,0.812932509738369,2.68041509654815,6.71903379444912,3.58126164660233,6.76795708477674
1,4,0.72738554793055,0.72738554793055,4.71408942077041,5.17458703171019,1.03126164131328,0.812817542992659,2.69281660379638,6.73536223774445,3.58146464744458,6.7677094159758
1,5,0.694324752175229,0.694324752175229,3.65118819435526,5.17457626112945,0.881381051792249,0.81280567620969,1.92368133284245,5.37869505586807,3.58147713575846,6.76767538650044
1,6,0.662766620610975,0.662766620610975,3.73098137505999,5.18158756890315,0.908503262303251,0.814811340300545,1.95031498094562,5.51164776917436,3.58455734191409,6.77861779589222
1,7,0.632642854831186,0.632642854831186,3.73345123541343,5.18167738360471,0.908521480398473,0.814753345027164,1.95274913383243,5.51415333699444,3.58476082735147,6.77859393985795
1,8,0.603888260697245,0.603888260697245,3.72629508387029,5.18171952287804,0.901453080924037,0.815037306679744,1.95944704525917,5.4931431224814,3.58424640178574,6.77919264397034
1,9,0.576440607244755,0.576440607244755,3.7495634261587,5.18343476136293,0.901520865200925,0.813663998868014,1.98258253036489,5.51654432195252,3.58865332358162,6.77821619914424
1,10,0.550240492002691,0.550240492002691,3.86898308099983,5.18348282242099,0.902777443358084,0.813703715256223,2.09953929201799,5.63842686998168,3.5886235405188,6.77834210432319
1,11,0.525231212434017,0.525231212434017,3.85705468942465,5.18362286791684,0.903348730597339,0.813920449712879,2.08649117745387,5.62761820139544,3.5883387864796,6.77890694935409
1,12,0.501358643219515,0.501358643219515,3.63583369548204,5.18484849452938,0.906630564074066,0.812655365926401,1.85883778989687,5.41282960106721,3.59204397731364,6.77765301174513
1,13,0.478571119119259,0.478571119119259,3.59354613872147,5.18812577580213,0.909557813766914,0.809892720835458,1.81081282373831,5.37627945370462,3.60073604296463,6.77551550863963
2,1,1.07098536386147,1.07098536386147,2.09897956367259,2.02964604002764,0.220698588855922,0.266398862726549,1.66641032951499,2.5315487978302,1.5075042690836,2.55178781097167
