"n","B","j","lambda","psi_relax","psi_tmle","lower_relax","lower_tmle","upper_relax","upper_tmle"
500,1,1,0.406612914755629,1.67446583912393,1.4863545405991,1.21677744965184,1.17948241282527,2.13215422859603,1.79322666837293
500,1,2,0.370490544080891,2.06618138082742,1.60030729678999,1.60703287909012,1.28305829060321,2.52532988256473,1.91755630297676
500,1,3,0.337577185259472,1.14289428861937,1.61337607625951,0.6358720931724,1.29480571084819,1.64991648406634,1.93194644167083
500,1,4,0.30758775852273,1.05597170512623,1.59584318271403,0.545649757563317,1.27503921045726,1.56629365268914,1.9166471549708
500,1,5,0.243758038372278,0.978844435104036,1.57276978959715,0.46539696288902,1.24985803239149,1.49229190731905,1.8956815468028
500,1,6,0.22210324606859,0.97380398054037,1.57235599398498,0.445864353683566,1.24943186350999,1.50174360739717,1.89528012445997
500,1,7,0.202372205830053,0.951584168449517,1.57079878503199,0.40450562028638,1.24783128925345,1.49866271661266,1.89376628081053
500,1,8,0.16801296058173,0.908373265080199,1.56675242605537,0.344502611579283,1.24349694355015,1.47224391858111,1.89000790856058
500,1,9,0.146129104892821,0.971174377286349,1.53044252714261,0.40905339855736,1.18803328779074,1.53329535601534,1.87285176649448
500,1,10,0.139487311548817,0.996405435831376,1.5309283521948,0.415789098157957,1.1885006557893,1.5770217735048,1.87335604860029
500,1,11,0.133147397962832,1.00801865458143,1.5243849673002,0.429638383740399,1.18172233075136,1.58639892542246,1.86704760384903
500,1,12,0.12709564323396,1.0128829225601,1.52395564036704,0.404693776374043,1.18130261392548,1.62107206874616,1.8666086668086
500,1,13,0.12131895009742,1.08197514951129,1.46812352539741,0.459925880352388,1.12314091573122,1.70402441867019,1.81310613506361
500,1,14,0.115804816579326,1.06752245877223,1.46268693343775,0.431265613178415,1.11664557394256,1.70377930436605,1.80872829293294
500,1,15,0.105517035845867,1.0463574540679,1.46624922766982,0.400723013214489,1.1139481463344,1.69199189492131,1.81855030900524
500,1,16,0.100721123718204,1.02806446828783,1.46457724765644,0.383817592308101,1.11224625424972,1.67231134426756,1.81690824106317
500,1,17,0.0961431931984575,1.12731607072635,1.46629505792033,0.465111952474372,1.11676960479911,1.78952018897833,1.81582051104156
500,1,18,0.0917733366861281,1.12052295053983,1.4662730330666,0.45862424170161,1.1166759333091,1.78242165937805,1.81587013282411
500,1,19,0.0876020968964505,1.10658187081991,1.46652845679963,0.445900157050094,1.11693398845933,1.76726358458972,1.81612292513994
500,1,20,0.0836204463928473,1.20175490153319,1.46606359725533,0.534755672033983,1.109299688285,1.8687541310324,1.82282750622565
500,1,21,0.079819768049666,1.2056430791851,1.46575458404452,0.536325074559908,1.10743189924186,1.87496108381029,1.82407726884718
500,1,22,0.0694231636503798,1.24277253469136,1.47531061299804,0.572875588127449,1.1235907648264,1.91266948125526,1.82703046116967
500,1,23,0.066267773719052,1.19878257485313,1.47622135594768,0.533078714959541,1.12441978759024,1.86448643474672,1.82802292430512
500,1,24,0.060380727343489,1.26643372988704,1.47883443870099,0.587214884200864,1.1269869044174,1.94565257557322,1.83068197298458
500,1,25,0.0576363300978464,1.26927835944485,1.47883389768743,0.589301294591272,1.12694300256929,1.94925542429843,1.83072479280556
500,1,26,0.0550166699425513,1.21478722856735,1.47382189396103,0.531590197121684,1.11960152270756,1.89798426001302,1.82804226521451
500,1,27,0.0525160773843359,1.24245670671247,1.4746210099912,0.543202347459868,1.12334133866763,1.94171106596508,1.82590068131477
500,1,28,0.0501291406171512,1.18267550138215,1.47342867036,0.461580297365223,1.12222130116309,1.90377070539908,1.82463603955691
500,1,29,0.0478506938098858,1.1760129734604,1.4643666120107,0.455451790782487,1.11323053059304,1.8965741561383,1.81550269342836
500,1,30,0.0456758059264245,1.24567394737751,1.46120260542306,0.513144923172137,1.10290430721042,1.97820297158289,1.8195009036357
500,1,31,0.0435997700538539,1.49863212117143,1.4716641071736,0.743989240987948,1.12369811431568,2.25327500135492,1.81963010003151
500,1,32,0.0379208565187042,1.50751320660869,1.46082422831783,0.751528484920528,1.1055182632795,2.26349792829686,1.81613019335616
500,1,33,0.0361972950652239,1.43579097964304,1.46138371434209,0.639833310768148,1.10496664606731,2.23174864851794,1.81780078261686
500,1,34,0.0345520721398425,1.54451811990035,1.45534879193467,0.722419390183416,1.09908434777217,2.36661684961728,1.81161323609716
500,1,35,0.032981627135555,1.59872054414198,1.45373563741618,0.773506724005292,1.0980743675031,2.42393436427866,1.80939690732925
500,1,36,0.0314825612804401,1.6074806406141,1.45558466690551,0.782470853448426,1.09462138465182,2.43249042777977,1.8165479491592
500,1,37,0.0300516302820057,1.55726673433293,1.45432754452682,0.701423113899313,1.0873312066438,2.41311035476655,1.82132388240985
500,1,38,0.0286857373058606,1.52989034510926,1.44240496898307,0.639124176222612,1.07413138153592,2.42065651399592,1.81067855643021
500,1,39,0.027381926273516,1.51658166397494,1.442776418311,0.626060650182956,1.07385198111158,2.40710267776692,1.81170085551043
500,1,40,0.0261373754648128,1.53054420520046,1.44419472043534,0.639403240756117,1.07753582023677,2.42168516964481,1.81085362063391
500,1,41,0.024949391411128,1.45296351660412,1.42989083984835,0.556904736367171,1.06433347078406,2.34902229684108,1.79544820891263
500,1,42,0.0238154030661442,1.45108144565449,1.48950945919098,0.548648538725268,1.09924853099426,2.3535143525837,1.8797703873877
500,1,43,0.0227329562415675,1.46493871821518,1.49489600272148,0.562918210475899,1.10922162664024,2.36695922595445,1.88057037880271
500,1,44,0.0216997082957493,1.47336243398348,1.5055757116285,0.571957350426774,1.12014045216149,2.37476751754019,1.8910109710955
500,1,45,0.0207134230637195,1.53950675485192,1.50631882596641,0.633627284378237,1.12085027901856,2.4453862253256,1.89178737291426
500,1,46,0.019771966017657,1.53735093838561,1.50648069711665,0.631560490928667,1.1210156732782,2.44314138584256,1.8919457209551
500,1,47,0.0188732996473248,1.59017688976051,1.50508901535523,0.664649865366377,1.12074045266692,2.51570391415464,1.88943757804353
500,1,48,0.0180154790504702,1.54273889171614,1.50475141591606,0.607108602530166,1.11950157811016,2.47836918090211,1.89000125372195
500,1,49,0.0171966477236499,1.54108023050046,1.50172324251271,0.611940697420106,1.11550583027299,2.47021976358082,1.88794065475244
500,1,50,0.0164150335443673,1.53920372712318,1.50378631564957,0.606651806647997,1.11799395183704,2.47175564759836,1.8895786794621
500,1,51,0.015668944935828,1.43598549230283,1.50616248146784,0.497617689632308,1.12090433073761,2.37435329497335,1.89142063219807
500,1,52,0.0149567672060139,1.62835362811688,1.48817729541004,0.680420998209683,1.08313287794537,2.57628625802407,1.89322171287471
500,2,1,0.362356327469769,1.36184786417587,1.37766492275663,1.03307293307348,1.0410263993673,1.69062279527826,1.71430344614595
500,2,2,0.330165590033241,1.32923552184013,1.37747886338412,1.00172730886289,1.04084064583562,1.65674373481737,1.71411708093262
500,2,3,0.287161192630124,1.56244402416055,1.46489036203398,1.25304012093893,1.15441937282643,1.87184792738217,1.77536135124153
500,2,4,0.274109273238256,1.69381458004815,1.50346233874269,1.37961167133613,1.18554546409809,2.00801748876017,1.82137921338729
500,2,5,0.261650583726274,1.71920991222016,1.50496387525487,1.40880272739162,1.18553269294001,2.02961709704871,1.82439505756973
500,2,6,0.227570334230288,1.57371409519115,1.50717713214764,1.21260596906655,1.18780741638104,1.93482222131575,1.82654684791425
500,2,7,0.217226911321539,1.46508722277621,1.51209868975161,1.07860341217711,1.19290754867727,1.85157103337531,1.83128983082595
500,2,8,0.197929071222189,1.58148078146754,1.5207465519548,1.18191995325978,1.20269861149367,1.98104160967529,1.83879449241593
500,2,9,0.180345598050188,1.41720850103148,1.51843981062137,1.01070304887248,1.20035044171813,1.82371395319047,1.83652917952461
500,2,10,0.172148612284563,1.53611526231572,1.51854206930219,1.06832965685181,1.20042860030225,2.00390086777963,1.83665553830214
500,2,11,0.164324192172706,1.52382955979335,1.50633685180406,1.05673880025173,1.18772923599728,1.99092031933497,1.82494446761084
500,2,12,0.156855404030659,1.32799147880862,1.51498381462657,0.861213047253152,1.19384340726958,1.79476991036409,1.83612422198356
500,2,13,0.149726083836534,1.3851478346507,1.51495145711638,0.917661522608626,1.19346144404798,1.85263414669277,1.83644147018479
500,2,14,0.142920802248184,1.37295832661811,1.51566505615784,0.90601573801825,1.19343937546344,1.83990091521796,1.83789073685224
500,2,15,0.136424831210875,1.41891428030403,1.51750093924949,0.944853228772081,1.19681011060069,1.89297533183598,1.8381917678983
500,2,16,0.130224112082692,1.15571589276969,1.55153471910557,0.683520971836114,1.24143727948152,1.62791081370327,1.86163215872963
500,2,17,0.124305225208691,1.18861670245068,1.54954920564136,0.716221009294559,1.23904568348196,1.66101239560681,1.86005272780075
500,2,18,0.118655360877958,1.18212736967807,1.53445153615723,0.704230696246481,1.22387146029228,1.66002404310965,1.84503161202218
500,2,19,0.113262291600708,1.12160959738413,1.53423194615087,0.650206861417562,1.22451970436502,1.59301233335071,1.84394418793672
500,2,20,0.108114345645438,1.11114228360736,1.53259152585548,0.634717895151593,1.22213130615402,1.58756667206313,1.84305174555694
500,2,21,0.0897584291219355,1.13152672908861,1.53431000405617,0.654094959010647,1.22391940406407,1.60895849916657,1.84470060404828
500,2,22,0.0856787699907342,1.13257200697214,1.52421048108746,0.656316768254083,1.21096891042948,1.60882724569019,1.83745205174543
500,2,23,0.0817845376633396,1.08801324864885,1.52433693871903,0.610456259148356,1.21103693483356,1.56557023814934,1.83763694260451
500,2,24,0.0780673042053424,1.13898039572315,1.52052860698784,0.64630643302197,1.2053875620195,1.63165435842433,1.83566965195617
500,2,25,0.0745190247449595,1.21247468424984,1.52103155834298,0.701335844562003,1.20565901438198,1.72361352393768,1.83640410230398
500,2,26,0.0711320200622461,1.20818101333222,1.52048442686531,0.696999456320616,1.20508995263309,1.71936257034382,1.83587890109752
500,2,27,0.0618670035033267,1.14804214878166,1.53194717880553,0.64451612083075,1.1827392126063,1.65156817673257,1.88115514500476
500,2,28,0.0590550527123928,1.15596790501742,1.5320116405397,0.643553759447315,1.1828045987248,1.66838205058753,1.8812186823546
500,2,29,0.0563709094246978,1.25700509876037,1.5324407211522,0.733012495817617,1.18259397996802,1.78099770170312,1.88228746233638
500,2,30,0.0538087645919693,1.24972340373208,1.53184997925729,0.723480055370471,1.18200094387273,1.77596675209369,1.88169901464184
500,2,31,0.0513630731961443,1.18151845927417,1.5310498352104,0.637447522015757,1.18127964384519,1.72558939653258,1.8808200265756
500,2,32,0.0490285422487883,1.18151845927417,1.53114517806652,0.637452021867301,1.18131012430125,1.72558489668104,1.8809802318318
500,2,33,0.0468001193359604,1.14185429357633,1.52394266203642,0.566699996578515,1.17302216868103,1.71700859057414,1.87486315539181
500,2,34,0.0446729816837307,1.19469103705922,1.52315717849029,0.612379036344332,1.17252614160676,1.77700303777411,1.87378821537383
500,2,35,0.0426425257206875,1.05451633988609,1.52183040319127,0.473610843483655,1.17088560553508,1.63542183628853,1.87277520084746
