"n","B","j","psi_relax","psi_tmle","lower_relax","lower_tmle","upper_relax","upper_tmle"
500,1,1,1.29172003342672,1.300268753578,1.10976525062248,1.11779935690415,1.47367481623096,1.48273815025185
500,1,2,1.30717945284369,1.3102500683995,1.12513031496981,1.1277696024801,1.48922859071757,1.4927305343189
500,1,3,1.32239313395398,1.31458369755722,1.14005221728914,1.13240707737175,1.50473405061882,1.49676031774269
500,1,4,1.32190483410416,1.31467453441344,1.14111272301693,1.1324976913486,1.5026969451914,1.49685137747828
500,1,5,1.3182105427402,1.31414163888604,1.13703533885385,1.13198283735384,1.49938574662654,1.49630044041825
500,1,6,1.32723570269398,1.31241551612907,1.14444575127082,1.1302177005115,1.51002565411715,1.49461333174664
500,1,7,1.31731056639724,1.30883034967453,1.13425728107599,1.12645928426447,1.50036385171849,1.49120141508458
500,1,8,1.31804083224136,1.30722495203696,1.1350255222422,1.12443116552751,1.50105614224052,1.4900187385464
500,1,9,1.30802707464521,1.30010255722241,1.12683528068515,1.11687366390872,1.48921886860527,1.48333145053609
500,1,10,1.31202258278017,1.30118150386159,1.13143035815803,1.11818229990397,1.49261480740232,1.4841807078192
500,1,11,1.31593773752887,1.3029982468917,1.13786053455429,1.11989052558324,1.49401494050344,1.48610596820017
500,1,12,1.3137829885165,1.30275346120018,1.13598582357687,1.11964639293675,1.49158015345613,1.48586052946362
500,1,13,1.31308778887788,1.30335732896476,1.13490711747199,1.11952919542623,1.49126846028377,1.48718546250329
500,1,14,1.30623468658591,1.3033549921946,1.12790245579887,1.1195154534403,1.48456691737294,1.48719453094891
500,1,15,1.30355838667713,1.30399737523372,1.12442770961057,1.12012993239049,1.48268906374369,1.48786481807694
500,1,16,1.30596798665677,1.30173901797829,1.12480719782628,1.11748348001583,1.48712877548725,1.48599455594075
500,1,17,1.3108812944563,1.2974351061308,1.12805103174572,1.11301162912539,1.49371155716687,1.48185858313622
500,1,18,1.32293826054737,1.2983224545475,1.13814425345108,1.11201545185846,1.50773226764366,1.48462945723653
500,1,19,1.33082833527003,1.29893967466334,1.14651739073857,1.11263032348092,1.51513927980149,1.48524902584576
