"n","B","j","lambda","psi_relax","psi_tmle","lower_relax","lower_tmle","upper_relax","upper_tmle"
500,1,34,0.0175086621570314,1.53717255428943,1.53786099819051,1.31815127727985,1.31831289680742,1.756193831299,1.7574090995736
500,1,35,0.0167128664402078,1.53454484801954,1.53784639140883,1.31586430937573,1.31830561738306,1.75322538666336,1.7573871654346
500,1,36,0.0159532408668957,1.53501350200203,1.53776236399162,1.31629616792617,1.31822739818888,1.7537308360779,1.75729732979436
500,1,37,0.0152281414482498,1.53336520987568,1.53768275946265,1.31479397714427,1.31816462691295,1.7519364426071,1.75720089201236
500,1,38,0.014535998917255,1.53206488136837,1.5375948207976,1.3136302800771,1.31807909446847,1.75049948265964,1.75711054712674
500,2,1,0.11920759681315,1.59067563480941,1.58896119589293,1.37027389418833,1.3684905020793,1.81107737543049,1.80943188970656
500,2,2,0.113789427560359,1.58735738071579,1.58925403298009,1.36682281435524,1.36870963349649,1.80789194707634,1.80979843246369
500,2,3,0.1036806884327,1.58657640575032,1.58925213985173,1.36631504078529,1.36861857713975,1.80683777071535,1.80988570256371
500,2,4,0.0989682411290705,1.58710516999838,1.58920299606581,1.36680244392386,1.36853864054582,1.8074078960729,1.80986735158581
500,2,5,0.0944699818282905,1.58550215607748,1.58918180375225,1.36528269172927,1.3685193821861,1.8057216204257,1.8098442253184
500,2,6,0.0860775290128454,1.58110242011966,1.58301595018371,1.3611375611082,1.36227544498083,1.80106727913112,1.8037564553866
500,2,7,0.0821651724724758,1.58271472229245,1.58302709658651,1.3627185082967,1.36228176562947,1.8027109362882,1.80377242754355
500,2,8,0.0784306385749552,1.57856870485008,1.58239777454017,1.35837744885475,1.36163597789548,1.79875996084542,1.80315957118487
500,2,9,0.0748658450067256,1.57835520894447,1.58234908174123,1.35820588506886,1.36161153614078,1.79850453282008,1.80308662734169
500,2,10,0.071463076807854,1.57845514634681,1.58241272979202,1.35819307869901,1.36153294084118,1.79871721399461,1.80329251874287
500,2,11,0.0621549397776291,1.57597805482345,1.58450545906187,1.35578775985673,1.36347702362166,1.79616834979017,1.80553389450208
500,2,12,0.0593299018386451,1.57940459361004,1.58512258911447,1.35978636100002,1.36414034918657,1.79902282622006,1.80610482904237
500,2,13,0.044880894968351,1.58309609780316,1.58603010087591,1.36389592081141,1.36509980557539,1.80229627479491,1.80696039617643
500,2,14,0.0428409890256413,1.58183940797236,1.58724282045693,1.36264108294783,1.36619478016619,1.80103773299688,1.80829086074767
500,2,15,0.0408937999562924,1.58033086322548,1.58672849969004,1.36137579058892,1.36562218744901,1.79928593586205,1.80783481193107
500,2,16,0.0390351136353167,1.58121158902812,1.58642764342786,1.3624553498853,1.3652697595683,1.79996782817093,1.80758552728741
500,2,17,0.0372609074762109,1.58493918486331,1.58680279561451,1.36618989422161,1.36565160466801,1.803688475505,1.80795398656102
500,2,18,0.0355673417252365,1.58361698625798,1.58687073981435,1.36522628818894,1.36572649421478,1.80200768432702,1.80801498541393
500,2,19,0.0339507511513886,1.58624813876874,1.58663795382079,1.36807597526941,1.3653667984002,1.80442030226808,1.80790910924138
500,2,20,0.032407637114068,1.59145271670519,1.5866489178986,1.37398159745329,1.3653520406933,1.80892383595709,1.80794579510389
500,2,21,0.0309346599912903,1.59629607784744,1.58654259770243,1.37869692917776,1.36524047067116,1.81389522651711,1.8078447247337
500,2,22,0.0295286319520448,1.59492414588718,1.58673826004478,1.37755510155753,1.36543299383847,1.81229319021683,1.80804352625109
500,2,23,0.0281865100571597,1.59489935270794,1.58647193517677,1.37822572003632,1.36512958290201,1.81157298537956,1.80781428745152
500,2,24,0.026905389673745,1.59417221986846,1.58634453907989,1.37756872183114,1.36497288022963,1.81077571790579,1.80771619793015
500,2,25,0.0256824981889586,1.59680673802608,1.58597382263509,1.38084267436389,1.36449315120681,1.81277080168827,1.80745449406337
500,2,26,0.0245151890094907,1.59113612716306,1.5857965817354,1.37470967614103,1.36428367812587,1.80756257818508,1.80730948534493
500,2,27,0.0234009358337825,1.58800015196539,1.58522757940719,1.37167135878122,1.36379919202907,1.80432894514956,1.8066559667853
500,2,28,0.0223373271845797,1.58847693358353,1.58526829401053,1.37207018598662,1.36385159860754,1.80488368118043,1.80668498941351
500,2,29,0.021322061189991,1.58914077070044,1.58503246512535,1.37258330063479,1.36368606925084,1.80569824076609,1.80637886099985
500,2,30,0.0194278680399353,1.58791215137677,1.58498552389396,1.37123117833666,1.36360981885203,1.80459312441687,1.80636122893589
500,2,31,0.01854484145375,1.58687624588942,1.5852398284926,1.3704423738823,1.36379187158722,1.80331011789654,1.80668778539798
500,2,32,0.0177019497887155,1.58841409171813,1.58498290192381,1.37154313110891,1.36348497942535,1.80528505232735,1.80648082442226
500,2,33,0.0168973688507237,1.59512215372439,1.58481961245592,1.37846625591137,1.36333538185711,1.8117780515374,1.80630384305474
500,2,34,0.016129357358104,1.59279055687221,1.58478087718725,1.37580467967725,1.36329652381747,1.80977643406717,1.80626523055703
500,2,35,0.0153962531731254,1.59376587728292,1.5844876678448,1.37680864813225,1.36299906606727,1.81072310643359,1.80597626962233
500,2,36,0.0146964697047817,1.58750859891043,1.58435128957917,1.37060483062955,1.36283382357498,1.80441236719132,1.80586875558337
500,2,37,0.0140284924750768,1.58801440770308,1.58420224351264,1.37086460415908,1.36261446097094,1.80516421124707,1.80579002605435
500,2,38,0.0133908758413767,1.58715212445454,1.58425232707763,1.36994674897052,1.36265215787135,1.80435749993855,1.80585249628392
500,3,1,0.0648936618965974,1.39757617555913,1.38973886076273,1.18088818048785,1.17254803497428,1.6142641706304,1.60692968655117
500,3,2,0.0619441448105319,1.39789851004067,1.38968123130713,1.18131359159996,1.17251058685381,1.61448342848138,1.60685187576045
500,3,3,0.0564411977107812,1.40681758695694,1.39178112754515,1.18987071325275,1.17482650209229,1.62376446066114,1.60873575299801
500,3,4,0.0447286839484064,1.40839371115694,1.39158310604523,1.1916643630537,1.17461645076749,1.62512305926018,1.60854976132297
500,3,5,0.0426956962314663,1.40843386674124,1.39099218551203,1.19180675974618,1.17408447100968,1.6250609737363,1.60789990001439
500,3,6,0.0389027282525325,1.40211931699335,1.38929548638177,1.18570139745386,1.17250103312008,1.61853723653284,1.60608993964345
500,3,7,0.0371345392133896,1.40429305856479,1.38892085391086,1.18798135879753,1.17211211614411,1.62060475833205,1.6057295916776
500,3,8,0.0354467170949894,1.40755336511548,1.38957733772727,1.19115007524331,1.17261054382462,1.62395665498765,1.60654413162993
500,3,9,0.0338356090967508,1.40628370947768,1.38938910246454,1.18994655679472,1.17223247951453,1.62262086216063,1.60654572541456
500,3,10,0.0322977284435166,1.40721557516859,1.39013325063891,1.19073773453967,1.17289296814673,1.62369341579751,1.6073735331311
500,3,11,0.0308297468394418,1.40883139241882,1.38993216951091,1.19286980041786,1.17276356722245,1.62479298441979,1.60710077179937
500,3,12,0.0268141415645633,1.40863844824145,1.38993164033354,1.19275255580329,1.17276686976807,1.62452434067961,1.60709641089901
500,3,13,0.0255953974471658,1.40760807110872,1.38980280806572,1.19188403132343,1.17265628592384,1.623332110894,1.60694933020761
500,3,14,0.0244320471308384,1.40497293217579,1.38857957935249,1.18953457337955,1.17155673550644,1.62041129097202,1.60560242319855
500,3,15,0.023321572881831,1.40982262294322,1.38876362458121,1.19384718275632,1.17169618645959,1.62579806313012,1.60583106270284
500,3,16,0.0222615714012782,1.4055771279472,1.38891252841727,1.18983403360706,1.17183690339944,1.62132022228734,1.6059881534351
500,3,17,0.0212497486239573,1.4126802473339,1.38775246242923,1.19745221638382,1.17057656717126,1.62790827828398,1.6049283576872
500,3,18,0.0193619795229663,1.41159880602508,1.38775590303945,1.19663804241148,1.17058029075696,1.62655956963868,1.60493151532194
500,3,19,0.0184819476715655,1.41236046858119,1.38757108048528,1.19732833038979,1.17037196788607,1.62739260677259,1.60477019308449
500,3,20,0.0176419146259976,1.41324153875489,1.3875571406521,1.19835434690216,1.17035871014472,1.62812873060762,1.60475557115948
500,3,21,0.0168400623788059,1.41227012898273,1.38813595931755,1.19751494026932,1.1709534097572,1.62702531769613,1.6053185088779
500,3,22,0.0160746555537782,1.41391911312509,1.38805750411662,1.19875931760116,1.1708718397771,1.62907890864901,1.60524316845613
500,3,23,0.0153440376502295,1.41399733842717,1.38890915297715,1.19772479548837,1.17163821275842,1.63026988136596,1.60618009319588
