"n","B","j","lambda_relax","lambda_tmle","psi_relax","psi_tmle","lower_relax","lower_tmle","upper_relax","upper_tmle"
500,1,1,0.215818987637288,0.215818987637288,1.29172003342672,1.300268753578,1.10976525062248,1.11779935690415,1.47367481623096,1.48273815025185
500,1,2,0.155838769227015,0.155838769227015,1.30717945284369,1.3102500683995,1.12513031496981,1.1277696024801,1.48922859071757,1.4927305343189
500,1,3,0.141994482478533,0.141994482478533,1.32239313395398,1.31458369755722,1.14005221728914,1.13240707737175,1.50473405061882,1.49676031774269
500,1,4,0.129380084008333,0.129380084008333,1.32190483410416,1.31467453441344,1.14111272301693,1.1324976913486,1.5026969451914,1.49685137747828
500,1,5,0.117886313931486,0.117886313931486,1.3182105427402,1.31414163888604,1.13703533885385,1.13198283735384,1.49938574662654,1.49630044041825
500,1,6,0.107413618710109,0.107413618710109,1.32723570269398,1.31241551612907,1.14444575127082,1.1302177005115,1.51002565411715,1.49461333174664
500,1,7,0.0978712888682408,0.0978712888682408,1.31731056639724,1.30883034967453,1.13425728107599,1.12645928426447,1.50036385171849,1.49120141508458
500,1,8,0.0934228877406838,0.0934228877406838,1.31804083224136,1.30722495203696,1.1350255222422,1.12443116552751,1.50105614224052,1.4900187385464
500,1,9,0.0891766733097615,0.0891766733097615,1.30802707464521,1.30010255722241,1.12683528068515,1.11687366390872,1.48921886860527,1.48333145053609
500,1,10,0.0851234558780694,0.0851234558780694,1.31202258278017,1.30118150386159,1.13143035815803,1.11818229990397,1.49261480740232,1.4841807078192
500,1,11,0.077561322667937,0.077561322667937,1.31593773752887,1.3029982468917,1.13786053455429,1.11989052558324,1.49401494050344,1.48610596820017
500,1,12,0.0740360408493298,0.0740360408493298,1.3137829885165,1.30275346120018,1.13598582357687,1.11964639293675,1.49158015345613,1.48586052946362
500,1,13,0.0706709885300802,0.0706709885300802,1.31308778887788,1.30335732896476,1.13490711747199,1.11952919542623,1.49126846028377,1.48718546250329
500,1,14,0.0674588830321543,0.0674588830321543,1.30623468658591,1.3033549921946,1.12790245579887,1.1195154534403,1.48456691737294,1.48719453094891
500,1,15,0.064392772686474,0.064392772686474,1.30355838667713,1.30399737523372,1.12442770961057,1.12012993239049,1.48268906374369,1.48786481807694
500,1,16,0.0614660217880501,0.0614660217880501,1.30596798665677,1.30173901797829,1.12480719782628,1.11748348001583,1.48712877548725,1.48599455594075
500,1,17,0.0534600111450395,0.0534600111450395,1.3108812944563,1.2974351061308,1.12805103174572,1.11301162912539,1.49371155716687,1.48185858313622
500,1,18,0.0510301711316219,0.0510301711316219,1.32293826054737,1.2983224545475,1.13814425345108,1.11201545185846,1.50773226764366,1.48462945723653
500,1,19,0.048710771096879,0.048710771096879,1.33082833527003,1.29893967466334,1.14651739073857,1.11263032348092,1.51513927980149,1.48524902584576
500,1,20,0.0464967913733337,0.0464967913733337,1.34067735109427,1.29895404743135,1.15745438710717,1.11306363699002,1.52390031508138,1.48484445787268
500,1,21,0.044383440445143,0.044383440445143,1.35971954852435,1.30517017565508,1.17529746942708,1.11762618948462,1.54414162762161,1.49271416182554
500,1,22,0.0423661445782536,0.0423661445782536,1.35447076834569,1.30222556470547,1.17076211583831,1.11591290129569,1.53817942085307,1.48853822811525
500,1,23,0.0404405379218842,0.0404405379218842,1.36350178120886,1.30255631903774,1.1779656711648,1.116297375049,1.54903789125291,1.48881526302648
500,1,24,0.0386024530599089,0.0386024530599089,1.3710137063972,1.2993316520006,1.18333333325952,1.11200364968699,1.55869407953488,1.48665965431421
500,1,25,0.0368479119916969,0.0368479119916969,1.37847042774836,1.2989167266395,1.19039570936885,1.11158269994065,1.56654514612787,1.48625075333836
500,1,26,0.0351731175228854,0.0351731175228854,1.40501198620159,1.30660569571052,1.2158833187468,1.11927519478804,1.59414065365637,1.493936196633
500,1,27,0.0320484347033263,0.0320484347033263,1.38763265319364,1.30427912608377,1.19741051320039,1.11692994475118,1.57785479318688,1.49162830741636
500,1,28,0.0305917838844876,0.0305917838844876,1.3784743769553,1.30153472509995,1.18727711402173,1.11338038117607,1.56967163988887,1.48968906902384
500,1,29,0.0278740941186792,0.0278740941186792,1.37753841994073,1.30112311925169,1.18618123966242,1.11280840011288,1.56889560021905,1.48943783839051
500,1,30,0.0266071735218319,0.0266071735218319,1.380501524379,1.30102362792488,1.18879106682876,1.11243562224065,1.57221198192924,1.48961163360911
500,1,31,0.0253978364213983,0.0253978364213983,1.39792842136663,1.30457677621398,1.20556370319059,1.11568838855319,1.59029313954267,1.49346516387477
500,1,32,0.0242434655585954,0.0242434655585954,1.40545443032955,1.30264219453342,1.21401240088135,1.11471581390325,1.59689645977775,1.49056857516359
500,1,33,0.0231415626330916,0.0231415626330916,1.40540690910333,1.30283067306962,1.21400198717246,1.1150650465537,1.59681183103419,1.49059629958554
500,1,34,0.0220897428961608,0.0220897428961608,1.39948248157343,1.30089571053862,1.20665271051055,1.11364102351752,1.5923122526363,1.48815039755972
500,1,35,0.021085729989587,0.021085729989587,1.38526361145104,1.29892341001859,1.19346044497522,1.11174102779131,1.57706677792686,1.48610579224586
500,1,36,0.0201273510191484,0.0201273510191484,1.39349525753255,1.29711966780218,1.20288146753485,1.10975395831039,1.58410904753026,1.48448537729397
500,1,37,0.0192125318520191,0.0192125318520191,1.39468300161198,1.29719104683218,1.2037629201078,1.10972924899235,1.58560308311616,1.48465284467201
500,1,38,0.0183392926279111,0.0183392926279111,1.38965198021389,1.29258455999908,1.1996510930504,1.10613093468845,1.57965286737737,1.47903818530971
500,1,39,0.0175057434742423,0.0175057434742423,1.3812818800639,1.29732803516901,1.19369150919822,1.11054976210925,1.56887225092958,1.48410630822877
500,1,40,0.016710080416056,0.016710080416056,1.3475239114513,1.29325172293368,1.162136955963,1.1074595304085,1.53291086693959,1.47904391545887
500,1,41,0.0159505814718414,0.0159505814718414,1.34201515995778,1.28591575767946,1.15690099519518,1.10036531127914,1.52712932472037,1.47146620407977
500,1,42,0.015225602926805,0.015225602926805,1.34413224577105,1.28525140142455,1.1592016857256,1.10002105661291,1.52906280581651,1.47048174623619
500,1,43,0.0145335757755277,0.0145335757755277,1.36729211424664,1.28673346962199,1.17994937574249,1.10258753625797,1.55463485275079,1.47087940298601
500,1,44,0.0138730023263077,0.0138730023263077,1.36440248628179,1.2866812592422,1.17741499559633,1.10310416439887,1.55138997696725,1.47025835408552
500,1,45,0.0132424529598431,0.0132424529598431,1.3783739490729,1.29065617406992,1.19151364076279,1.10738897673074,1.56523425738301,1.4739233714091
500,1,46,0.0126405630352352,0.0126405630352352,1.37321543127454,1.29059087138452,1.18481218502506,1.10756378976982,1.56161867752402,1.47361795299922
500,1,47,0.0120660299366203,0.0120660299366203,1.37736884703053,1.28841008560441,1.18859386652653,1.10514022426214,1.56614382753453,1.47167994694667
500,1,48,0.0115176102540364,0.0115176102540364,1.3576460226185,1.27263170773424,1.16818492220304,1.09074997900193,1.54710712303396,1.45451343646654
500,1,49,0.010994117092423,0.010994117092423,1.34834356264341,1.27237536922985,1.15701716711985,1.09125719934723,1.53966995816698,1.45349353911248
500,1,50,0.0104944175029319,0.0104944175029319,1.35776175847958,1.27697090534496,1.164596886893,1.09624022199336,1.55092663006616,1.45770158869656
500,1,51,0.0100174300309886,0.0100174300309886,1.35677379972626,1.27706745554275,1.16288282388586,1.09620155899558,1.55066477556665,1.45793335208993
500,1,52,0.00956212237579803,0.00956212237579803,1.35765407146361,1.27710138602801,1.16374086060981,1.09623640251068,1.5515672823174,1.45796636954534
500,1,53,0.0091275091562296,0.0091275091562296,1.35446538674526,1.2767428907028,1.16021410843637,1.09518739300433,1.54871666505415,1.45829838840127
500,1,54,0.00871264977824572,0.00871264977824572,1.31858360647904,1.27375554938348,1.12169927617876,1.0923555171337,1.51546793677931,1.45515558163327
500,1,55,0.00831664639925953,0.00831664639925953,1.3205757064078,1.27714912652629,1.12001371971874,1.09567832203987,1.52113769309687,1.45861993101271
500,1,56,0.00793864198501538,0.00793864198501538,1.31799666212279,1.2811826952457,1.11741879702265,1.09996069101547,1.51857452722293,1.46240469947593
500,1,57,0.00757781845478727,0.00757781845478727,1.30642767337432,1.27957961422668,1.10690815001806,1.0981526732714,1.50594719673058,1.46100655518197
500,1,58,0.00723339491088075,0.00723339491088075,1.31827907254817,1.27939281766378,1.11755583324502,1.09764296541308,1.51900231185133,1.46114266991449
500,2,1,0.0656359024051743,0.0656359024051743,1.32126692076093,1.31801919486365,1.14294018015238,1.13964602448638,1.49959366136949,1.49639236524091
500,2,2,0.0626526493424659,0.0626526493424659,1.32055289028175,1.31465788140598,1.1422016051203,1.13593382033963,1.49890417544319,1.49338194247233
500,2,3,0.0598049897356259,0.0598049897356259,1.32604613078109,1.31225123604336,1.14751136911767,1.13305149372038,1.50458089244451,1.49145097836634
500,2,4,0.0570867606528185,0.0570867606528185,1.33234452674997,1.31296713762329,1.15409292991365,1.13389650359375,1.51059612358629,1.49203777165284
500,2,5,0.0544920792769714,0.0544920792769714,1.32776019840542,1.31067736334641,1.15163792835323,1.13164825802872,1.50388246845761,1.48970646866411
500,2,6,0.0520153301741274,0.0520153301741274,1.3294209565501,1.31188704326577,1.15307946609068,1.13285062790568,1.50576244700952,1.49092345862586
500,2,7,0.049651153140469,0.049651153140469,1.33369000224531,1.31104771831016,1.15766011119469,1.13219128275304,1.50971989329593,1.48990415386729
500,2,8,0.0473944316017151,0.0473944316017151,1.33596678291827,1.3109790590141,1.15963951629295,1.13217871756543,1.51229404954359,1.48977940046277
