"n","B","j","lambda","psi_relax","psi_tmle","lower_relax","lower_tmle","upper_relax","upper_tmle"
500,1,1,0.226510160585964,1.27599842484585,1.60164903122879,0.76690710331416,1.26483309353847,1.78508974637753,1.93846496891912
500,1,2,0.216214924205557,1.26576669139915,1.60442220776185,0.756949794068971,1.26766975634035,1.77458358872932,1.94117465918335
500,1,3,0.206387622207669,1.2742189892106,1.60906065238336,0.764546388618666,1.27336001606284,1.78389158980252,1.94476128870389
500,1,4,0.188052714678862,1.14820471058774,1.58270382143791,0.61220141348923,1.24535268956789,1.68420800768625,1.92005495330793
500,1,5,0.171346629801792,1.18845049100099,1.58355656249711,0.650882845653857,1.24661781030287,1.72601813634812,1.92049531469135
500,1,6,0.156124667461301,1.18745738269824,1.58563941402786,0.649584728813359,1.24881507679238,1.72533003658312,1.92246375126334
500,1,7,0.149028560372027,1.18349934562504,1.58443671278983,0.629214864194228,1.24761500550615,1.73778382705586,1.92125842007351
500,1,8,0.142254982301654,1.17848462193396,1.59381954815704,0.627031737632573,1.25739914166417,1.72993750623534,1.93023995464992
500,1,9,0.129617441745135,1.23494421339742,1.6023221079866,0.688950512646159,1.26536757218472,1.78093791414868,1.93927664378849
500,1,10,0.123726128974274,1.20118945436011,1.58724200201162,0.652509236128537,1.25031706333315,1.74986967259168,1.9241669406901
500,1,11,0.1127346406797,1.13846688325843,1.58411761272167,0.591566386476176,1.24716987573436,1.68536738004068,1.92106534970899
500,1,12,0.102719605911404,1.14341206544871,1.55077086934949,0.595611527544136,1.21315050695135,1.69121260335329,1.88839123174762
500,1,13,0.0935942792293322,1.12578194116033,1.5495027424827,0.562395759292076,1.21289700803601,1.68916812302858,1.88610847692939
500,1,14,0.0893402747907358,1.12282270004855,1.5493730683732,0.558950645159718,1.21384836019727,1.68669475493739,1.88489777654913
500,1,15,0.085279621419241,1.19015218163723,1.55136133927752,0.621040466285015,1.21530639562612,1.75926389698945,1.88741628292893
500,1,16,0.081403531010442,1.16057894041568,1.55206164387752,0.592981252356371,1.21581452587568,1.72817662847499,1.88830876187935
500,1,17,0.0777036148928412,1.14448327333751,1.55319206151055,0.577357972050978,1.21567150756147,1.71160857462405,1.89071261545962
500,1,18,0.0741718656730071,1.18340912323093,1.55323017972162,0.615599591515418,1.21633482259762,1.75121865494644,1.89012553684562
500,1,19,0.0708006399058978,1.17698991467175,1.5437248078804,0.560840878494441,1.20229447505898,1.79313895084905,1.88515514070182
500,1,20,0.067582641552845,1.08857521064456,1.54465410696331,0.457470039794063,1.20333787576268,1.71968038149506,1.88597033816395
500,1,21,0.0615787859428554,1.09577492001141,1.55037226248903,0.453873891832849,1.20901399135224,1.73767594818996,1.89173053362582
500,1,22,0.0587799350848621,1.0863407031057,1.54465472222516,0.420946403087153,1.20348135823046,1.75173500312426,1.88582808621986
500,1,23,0.0535580876562125,1.09859370213837,1.54541291906557,0.438861553320578,1.2042398992062,1.75832585095616,1.88658593892494
500,1,24,0.0511237899139969,1.10897763806766,1.54539355059914,0.426752022173858,1.20569991363205,1.79120325396145,1.88508718756623
500,1,25,0.0488001347611095,1.13147611406997,1.54742134464726,0.448718565338285,1.20776530933514,1.81423366280166,1.88707737995939
500,1,26,0.0465820933211066,1.31701626965551,1.54364584683164,0.587269069693685,1.20455818734078,2.04676346961734,1.8827335063225
500,1,27,0.0444648652877399,1.36954121498498,1.54231609051207,0.636206150802522,1.20336335706055,2.10287627916745,1.88126882396359
500,1,28,0.0424438685360884,1.30486600617555,1.54168376198268,0.571818716823007,1.20266667032804,2.03791329552808,1.88070085363732
500,1,29,0.040514729205881,1.34398405188445,1.54415727239844,0.60407691401653,1.20571866540911,2.08389118975237,1.88259587938778
500,1,30,0.0386732722355459,1.27976892806919,1.54357814976514,0.537751899926841,1.20491594980394,2.02178595621154,1.88224034972634
500,1,31,0.0369155123265033,1.25370257439169,1.54416384044864,0.511298470841934,1.20225783706659,1.99610667794144,1.88606984383068
500,1,32,0.0352376453181446,1.21986109007385,1.54220589615572,0.478949620929896,1.20007885054501,1.96077255921781,1.88433294176643
500,1,33,0.033636039954832,1.2061863853021,1.53369832700363,0.458748719393329,1.19063452648741,1.95362405121087,1.87676212751986
500,1,34,0.0321072300271007,1.35081658179592,1.57595404533317,0.56023862582718,1.22418545861059,2.14139453776465,1.92772263205575
500,1,35,0.0306479068700555,1.33240636344336,1.5741166109009,0.541925297850126,1.22255020532764,2.1228874290366,1.92568301647415
500,1,36,0.0279252312928906,1.27957884694758,1.56305161628907,0.485151150689225,1.20958730875041,2.07400654320594,1.91651592382773
500,1,37,0.0266559864325535,1.27485256594243,1.55484990198904,0.460589360391924,1.20154126193483,2.08911577149294,1.90815854204325
500,1,38,0.0254444307099927,1.29336075610896,1.55515400573467,0.474578577270636,1.19984428222788,2.11214293494728,1.91046372924146
500,1,39,0.0231840176135065,1.2875424707146,1.55523967225847,0.467515037840485,1.19997095215869,2.10756990358871,1.91050839235826
500,1,40,0.0221302682321934,1.28602325137947,1.55678717070801,0.465717972672133,1.2015108675056,2.1063285300868,1.91206347391041
500,1,41,0.0211244133865527,1.225626757108,1.55789801602769,0.404588545153334,1.20118807624487,2.04666496906268,1.91460795581051
500,1,42,0.0201642761960204,1.13929411065438,1.56340026142119,0.302442549875597,1.20408050697481,1.97614567143317,1.92272001586756
500,1,43,0.0192477787226143,1.13891332782324,1.56394368276536,0.293034893205797,1.20431808686816,1.98479176244068,1.92356927866256
500,1,44,0.0183729374738399,1.11692148857351,1.58734997474233,0.276435952990531,1.22681651630229,1.95740702415649,1.94788343318236
500,1,45,0.0175378591099983,1.09864588666183,1.58417781658865,0.250623642155433,1.21977306476831,1.94666813116823,1.948582568409
500,1,46,0.0167407363466015,0.981852323323066,1.58353350523465,0.116357532573398,1.2192155269691,1.84734711407273,1.94785148350019
500,1,47,0.0159798440430312,0.973717844382754,1.60123005505916,0.103091913814945,1.23891264987491,1.84434377495056,1.96354746024341
500,1,48,0.0152535354689722,0.870470107561569,1.58463283465329,5.42866319602764e-05,1.20709543221511,1.74088592849118,1.96217023709148
500,2,1,0.234070954330078,1.78334623495166,1.69702600525165,1.31016943517561,1.35622934355844,2.2565230347277,2.03782266694486
500,2,2,0.194329818474248,1.75345725462574,1.70553952072267,1.27919134179597,1.36391286732036,2.22772316745552,2.04716617412499
500,2,3,0.185497228307968,1.76082682518253,1.70986397438347,1.28914775410978,1.36692224105038,2.23250589625528,2.05280570771656
500,2,4,0.169018165796872,1.54184592491391,1.63835307362092,1.0794769895309,1.30845889558828,2.00421486029693,1.96824725165356
500,2,5,0.161336029309218,1.34615869317388,1.63336899855664,0.832854229446338,1.30348861186025,1.85946315690143,1.96324938525303
500,2,6,0.154003057781063,1.3757325079364,1.61929535582766,0.865224252196147,1.2884143430085,1.88624076367666,1.95017636864681
500,2,7,0.147003381126117,1.20244377915817,1.62241096814212,0.68936761483402,1.28931380055399,1.71551994348233,1.95550813573025
500,2,8,0.140321850578006,1.1622877571444,1.58888563827691,0.653001743892509,1.26405040862401,1.67157377039628,1.91372086792981
500,2,9,0.133944005905168,1.29259760061186,1.62413904023201,0.786004390284535,1.30867298939186,1.79919081093918,1.93960509107216
500,2,10,0.116497665542651,1.2590865902461,1.62821015885835,0.74879106731956,1.31274927601481,1.76938211317265,1.94367104170189
500,2,11,0.111202666848444,1.2522190309249,1.64722849063848,0.73347349039517,1.33168212297843,1.77096457145463,1.96277485829853
500,2,12,0.0967184085798715,1.11811864391328,1.6317617609836,0.603008838720759,1.31686460099359,1.63322844910581,1.94665892097361
500,2,13,0.0881262117287397,1.15936171709049,1.62775478585286,0.632811279423134,1.31283998738909,1.68591215475784,1.94266958431663
500,2,14,0.0841207393971225,1.20099908138485,1.62765164334588,0.67149925708023,1.31274172041513,1.73049890568947,1.94256156627664
500,2,15,0.0802973219647757,1.24046304744261,1.59698994512122,0.718472735462671,1.30169678422838,1.76245335942255,1.89228310601405
500,2,16,0.076647684755555,1.26959150279541,1.59873554357498,0.725666956404571,1.3030248260656,1.81351604918625,1.89444626108436
500,2,17,0.0731639291901178,1.27891457102363,1.59924265272784,0.734549362447592,1.30518687068232,1.82327977959967,1.89329843477336
500,2,18,0.0698385156917427,1.27037471667583,1.5858238346832,0.713956839611013,1.29177282120064,1.82679259374064,1.87987484816576
500,2,19,0.0666642473691063,1.31648579886913,1.58581038423959,0.756472626055004,1.28748671358307,1.87649897168326,1.88413405489611
500,2,20,0.0636342544407031,1.24876918506623,1.59004995358846,0.643299018131024,1.29119276903899,1.85423935200144,1.88890713813792
500,2,21,0.0607419793671996,1.20693740728368,1.58958684129345,0.600631314419191,1.29071719482385,1.81324350014818,1.88845648776305
500,2,22,0.0579811626595454,1.20141964115376,1.59167093367005,0.594707811150197,1.2811635211143,1.80813147115733,1.90217834622579
500,2,23,0.0553458293321278,1.47726723357086,1.57503459342813,0.868744633424667,1.25907768106422,2.08578983371705,1.89099150579203
500,2,24,0.0528302759716519,1.61642633885381,1.57506491074425,0.99099970871607,1.25686303442557,2.24185296899155,1.89326678706294
500,2,25,0.0504290583937591,1.58971103095706,1.58628209579502,0.962910550828775,1.26604139543428,2.21651151108534,1.90652279615576
500,2,26,0.0481369798606722,1.77651569704935,1.58918711373482,1.14369805583794,1.26846747189287,2.40933333826076,1.90990675557676
500,2,27,0.0459490798343664,1.76209849298328,1.65060151465998,1.13369992843818,1.32851372629701,2.39049705752837,1.97268930302295
500,2,28,0.0438606232409259,2.10550083491759,1.70905618803215,1.4763119520137,1.38751302942504,2.73468971782148,2.03059934663926
500,2,29,0.041867090222852,2.04880710180056,1.70683361457016,1.3986607101493,1.38504651998261,2.69895349345181,2.02862070915771
500,2,30,0.0399641663571451,2.05069133014241,1.70176517380945,1.36760975772768,1.37920692390291,2.73377290255714,2.02432342371599
500,2,31,0.0381477333179897,2.10444943315611,1.71560098735292,1.42331214590657,1.39302972517599,2.78558672040566,2.03817224952986
500,2,32,0.0364138599638343,2.11874495471579,1.71439469009951,1.42752106968833,1.39185014434402,2.80996883974326,2.03693923585501
500,2,33,0.0347587938295782,2.10945272074603,1.72322569522062,1.41843997259456,1.39803142012467,2.8004654688975,2.04841997031658
500,2,34,0.0331789530054507,1.98359413649903,1.72090890947066,1.28659879309302,1.39171379042518,2.68058947990504,2.05010402851613
500,2,35,0.0316709183850085,1.87044125364305,1.71375107875055,1.13368249502883,1.38950407499803,2.60720001225728,2.03799808250306
500,2,36,0.0302314262654728,1.84804076408855,1.71433432506572,1.09989093643943,1.38752825556322,2.59619059173767,2.04114039456821
500,2,37,0.0288573612843931,1.84626370595218,1.71445498179188,1.09868967472272,1.38778153550869,2.59383773718163,2.04112842807507
500,2,38,0.0275457496773504,1.93853370361426,1.72548942000839,1.19128619435134,1.39650722240237,2.68578121287719,2.05447161761442
500,2,39,0.026293752842108,1.96723283135121,1.72632853529472,1.18447264540498,1.3973799552694,2.74999301729744,2.05527711532004
500,2,40,0.0250986611952819,1.93350976078211,1.78677589015362,1.14626258936945,1.45095561779773,2.72075693219477,2.1225961625095
500,2,41,0.0239578883082346,1.93764824799428,1.78615249765894,1.14919141569523,1.45044204522218,2.72610508029333,2.12186295009569
500,2,42,0.0228689653095019,1.92943881336891,1.78984076398102,1.14282382512384,1.45438622448626,2.71605380161398,2.12529530347577
500,2,43,0.0218295355416381,1.93736012225719,1.78657191500753,1.15301861599009,1.4513506568957,2.7217016285243,2.12179317311937
500,2,44,0.0208373494609153,1.92966547566921,1.78629231256373,1.13044968756549,1.44976507316632,2.72888126377293,2.12281955196114
500,2,45,0.01989025976884,1.90980448636193,1.78752410012267,1.05724427067694,1.45439274152055,2.76236470204692,2.12065545872479
500,2,46,0.0189862167649492,1.96780417424908,1.7870620392972,1.09246608718098,1.45358253340908,2.84314226131718,2.12054154518531
500,2,47,0.0181232639108293,1.97324548325519,1.78733040036585,1.09042050544744,1.45310309066551,2.85607046106294,2.12155771006619
500,2,48,0.0172995335957572,1.97531223488238,1.78767190139736,1.08665882606721,1.45344056684991,2.86396564369755,2.1219032359448
500,2,49,0.0165132430947996,1.9701364329623,1.78612701774688,1.0814070969917,1.45163119569216,2.8588657689329,2.1206228398016
500,2,50,0.0150462520906627,1.96788593979882,1.78616831080671,1.06671987118299,1.45151301315556,2.86905200841465,2.12082360845785
500,2,51,0.014362376711687,2.01072224078082,1.78738776791484,1.09492730893012,1.45277279285901,2.92651717263151,2.12200274297067
500,3,1,0.178340091672698,1.48138620314859,1.53539246782558,1.05611379100664,1.22854316498132,1.90665861529054,1.84224177066984
500,3,2,0.162496849454384,1.61631134866309,1.53523449199039,1.17153554817615,1.2310567928321,2.06108714915002,1.83941219114869
500,3,3,0.155111116859093,1.66561744466525,1.57513793783868,1.22279084081141,1.26861514299484,2.10844404851908,1.88166073268252
500,3,4,0.148061077208941,1.65888323450546,1.57510141014427,1.21619286784376,1.26858682858255,2.10157360116716,1.88161599170599
500,3,5,0.134907739183127,1.64715909681971,1.58215812900837,1.20370640206571,1.27555658704527,2.09061179157371,1.88875967097148
500,3,6,0.117335871599944,1.64996084009758,1.58272518311168,1.20684860616037,1.27620892047758,2.09307307403478,1.88924144574577
500,3,7,0.112002775146798,1.56271073517613,1.57342494540238,1.11540609033657,1.26691371026759,2.01001538001568,1.87993618053717
500,3,8,0.106912076158219,1.47951334367182,1.56633118236573,1.02224360775373,1.2571115121106,1.93678307958991,1.87555085262087
500,3,9,0.0974143019743515,1.46549862722708,1.56114025219913,1.00684999160132,1.25268032618522,1.92414726285284,1.86960017821305
500,3,10,0.0929866716064071,1.5292321806848,1.565159924031,1.06277234405877,1.2569106124244,1.99569201731082,1.8734092356376
500,3,11,0.0887602838720167,1.48314968489155,1.54996640116005,1.01655906541941,1.24098460676067,1.94974030436369,1.85894819555944
500,3,12,0.0847259919828998,1.46444897525916,1.54931830225055,0.996372847949795,1.24028637990547,1.93252510256852,1.85835022459562
500,3,13,0.0808750648864199,1.45905238218786,1.53813733694683,0.993614382436762,1.22742614547608,1.92449038193895,1.84884852841757
500,3,14,0.0736903470229294,1.4743669289686,1.53732214848818,1.00759460311686,1.22658035075805,1.94113925482033,1.8480639462183
500,3,15,0.0703410070216123,1.45725162539968,1.53597220746143,0.980493948035419,1.22537155052239,1.93400930276394,1.84657286440048
500,3,16,0.0671438996925192,1.50444210800028,1.55552349852946,1.02836463011777,1.24779737578636,1.98051958588279,1.86324962127256
500,3,17,0.0640921058257512,1.35690603078691,1.55711973262646,0.870646877219301,1.24997121598774,1.84316518435452,1.86426824926517
500,3,18,0.0611790207001778,1.37213327127008,1.5729816824923,0.888623239888133,1.26634104407173,1.85564330265202,1.87962232091287
500,3,19,0.0583983397894371,1.32773595750443,1.56956392779041,0.828018272019688,1.2607889052957,1.82745364298918,1.87833895028511
500,3,20,0.0557440451176205,1.33929287246623,1.57902721238784,0.817817202178214,1.2701690264019,1.86076854275425,1.88788539837377
500,3,21,0.0532103922351123,1.35924812664327,1.57962634688502,0.839746269257232,1.2714440922259,1.8787499840293,1.88780860154413
500,3,22,0.0507918977863973,1.35717157425439,1.57990244196772,0.837929076354976,1.27185903846903,1.87641407215381,1.8879458454664
500,3,23,0.0484833276429312,1.35696478142944,1.57985650287213,0.84087297750043,1.275959567204,1.87305658535845,1.88375343854026
500,3,24,0.04627968557539,1.36711750713975,1.56646714293523,0.85144234608439,1.26276532608006,1.88279266819512,1.87016895979041
500,3,25,0.0441762024407835,1.36587040569097,1.56851240587347,0.849678395089515,1.26497966611807,1.88206241629243,1.87204514562887
500,3,26,0.0421683258610306,1.3846581133433,1.57247969486087,0.849106109723682,1.26916655736513,1.92021011696291,1.8757928323566
500,3,27,0.0384222080123127,1.26961683196754,1.43551634868029,0.734404462017742,1.10242181795763,1.80482920191733,1.76861087940295
500,3,28,0.0366758593596931,1.30152298692105,1.44573166695422,0.77232023568553,1.11546358084459,1.83072573815657,1.77599975306384
500,3,29,0.0350088849485415,1.33383363509117,1.4256141808969,0.802267401461964,1.09614293132819,1.86539986872037,1.75508543046562
500,3,30,0.033417677097082,1.33567312849717,1.4268255208896,0.804184283174941,1.09739649868351,1.8671619738194,1.75625454309568
500,3,31,0.0304489427667547,1.35875276038871,1.42683137303312,0.822888992635744,1.09740135900806,1.89461652814168,1.75626138705817
500,3,32,0.0290649913249902,1.26875797253464,1.44226453706995,0.71464409425446,1.11197903307725,1.82287185081483,1.77255004106264
500,3,33,0.027743942612159,1.25991704792566,1.44176993298675,0.707729341108034,1.11155559592714,1.81210475474329,1.77198427004636
500,3,34,0.0264829376021509,1.2465551040466,1.44538810476189,0.681675223750171,1.11369476476404,1.81143498434303,1.77708144475974
500,3,35,0.0252792472160048,1.18109824659127,1.44631078397385,0.578559592502933,1.11464396649874,1.78363690067961,1.77797760144896
500,3,36,0.0241302664156103,1.15353377980171,1.44759558170839,0.548866181480075,1.11599650444519,1.75820137812335,1.77919465897159
500,3,37,0.0230335085658597,1.13946142483194,1.44960974039103,0.531475741373715,1.11831236594111,1.74744710829016,1.78090711484095
500,3,38,0.0219866000530485,1.12490498244664,1.45063939748517,0.522428368849516,1.11986640813556,1.72738159604376,1.78141238683479
500,3,39,0.0209872751478785,1.13545797339772,1.45494190818305,0.535479735743095,1.12449497810992,1.73543621105235,1.78538883825618
500,3,40,0.0200333711019447,1.14969383039929,1.45595277984307,0.541307986529337,1.1256477021108,1.75807967426923,1.78625785757534
