"n","B","j","lambda","psi_relax","psi_tmle","lower_relax","lower_tmle","upper_relax","upper_tmle"
2000,1,1,0.12163250808707,1.45392911424499,1.4430632952493,1.32757152684048,1.31002744744837,1.58028670164949,1.57609914305023
2000,1,2,0.11610412287442,1.4669584797786,1.44303087922216,1.34081710883933,1.30998987302951,1.59309985071786,1.5760718854148
2000,1,3,0.110827011301854,1.45751890596896,1.43308605998113,1.33332716346915,1.30030058216487,1.58171064846878,1.56587153779739
2000,1,4,0.10098144506984,1.46540349832847,1.43938408379187,1.3416288826976,1.30378003575738,1.58917811395934,1.57498813182636
2000,1,5,0.0963916825428972,1.46174229981083,1.43703859663622,1.33800409269208,1.30141589094919,1.58548050692959,1.57266130232326
2000,1,6,0.0920105318063599,1.46369781628007,1.43684664243798,1.33983363357196,1.30122320318946,1.58756199898817,1.5724700816865
2000,1,7,0.0878285111323955,1.4602991160748,1.41882934195728,1.32937383085018,1.27498306746404,1.59122440129943,1.56267561645051
2000,1,8,0.0838365697523348,1.45427321533399,1.41613783619693,1.32352297698183,1.27228814353161,1.58502345368615,1.55998752886225
2000,1,9,0.0763887599588059,1.41536994297559,1.39825152612487,1.29244928671951,1.25345557906391,1.53829059923166,1.54304747318583
2000,1,10,0.0729167729249894,1.40960472534882,1.40154635363643,1.29174840770169,1.25893383697065,1.52746104299595,1.54415887030222
2000,1,11,0.0696025930603101,1.40123529181537,1.39149280193207,1.2818911045777,1.24665374530877,1.52057947905304,1.53633185855537
2000,1,12,0.0664390477853807,1.40082613399663,1.38875229376907,1.28142762292584,1.24222568843381,1.52022464506743,1.53527889910433
2000,1,13,0.0605367858938162,1.40996680736149,1.39710674704325,1.29150179798575,1.25065519213417,1.52843181673724,1.54355830195233
2000,1,14,0.0577852955462101,1.4191484256794,1.40090504420736,1.29992988373657,1.25185654727487,1.53836696762223,1.54995354113986
2000,1,15,0.0551588646813828,1.44040217790106,1.42223185913948,1.31992421375922,1.26852015900727,1.56088014204289,1.57594355927169
2000,1,16,0.0526518091528329,1.38786358182504,1.38770940025859,1.26921378129259,1.23486783142978,1.50651338235748,1.5405509690874
2000,1,17,0.0502587031672901,1.38912561219327,1.39125317341309,1.26894575674398,1.23565454931984,1.50930546764257,1.54685179750634
2000,1,18,0.047974367542162,1.38844959208114,1.39196935533697,1.26774969390888,1.23445298949721,1.50914949025339,1.54948572117673
2000,1,19,0.0437124569526138,1.39304633006764,1.4034441608468,1.27047048458466,1.2415111236007,1.51562217555062,1.56537719809289
2000,1,20,0.0398291627535232,1.39330090872856,1.40289926618325,1.27023531580577,1.24049097794101,1.51636650165134,1.56530755442548
2000,1,21,0.0380188658365086,1.39314937030536,1.40198711035925,1.26265103129865,1.23182363058719,1.52364770931207,1.57215059013132
2000,1,22,0.0362908497082726,1.39254178620028,1.40286248344249,1.26156291746709,1.23273393037387,1.52352065493347,1.57299103651111
2000,1,23,0.0346413745799782,1.35221732695701,1.34716503395034,1.22024610963862,1.17597726532394,1.4841885442754,1.51835280257674
2000,1,24,0.0330668706419627,1.32118537266117,1.35359569253967,1.18498507162229,1.18560853034861,1.45738567370005,1.52158285473072
2000,1,25,0.031563930337922,1.30767330583397,1.35351628356759,1.1778518328813,1.18538564865308,1.43749477878663,1.52164691848209
2000,1,26,0.0301293009902451,1.28770752668501,1.34309638018523,1.15648852907105,1.17381479373896,1.41892652429897,1.51237796663149
2000,1,27,0.0287598777605383,1.28844634488473,1.34336088175983,1.15644377686419,1.17406610010143,1.42044891290526,1.51265566341823
2000,1,28,0.0274526969301049,1.30559784295378,1.38282548003768,1.17823744233935,1.20997620900591,1.43295824356821,1.55567475106945
2000,1,29,0.0262049294858367,1.29988343176476,1.37672011706794,1.16832534970685,1.2041389465503,1.43144151382267,1.54930128758558
2000,1,30,0.0250138749976376,1.28766911767252,1.37670403034811,1.15581279974697,1.20485456524574,1.41952543559806,1.54855349545048
2000,1,31,0.023876955774127,1.28642966018063,1.37808107154419,1.15434305946995,1.20594325132665,1.41851626089131,1.55021889176174
2000,1,32,0.0227917112839758,1.25222400786658,1.37583085797602,1.1153269864502,1.19605089866862,1.38912102928297,1.55561081728342
2000,1,33,0.0217557928308012,1.25978189441631,1.38781265545713,1.12227887075371,1.2108094773101,1.39728491807892,1.56481583360416
2000,1,34,0.0207669584700959,1.25515936982285,1.38202537535324,1.11761776129068,1.2060046158826,1.39270097835502,1.55804613482387
2000,1,35,0.0198230681571904,1.25359473676303,1.37093297584653,1.11410250198767,1.18296824998839,1.3930869715384,1.55889770170466
2000,1,36,0.0189220791157485,1.28177285970012,1.37133167951871,1.14091911779987,1.18306385757385,1.42262660160037,1.55959950146357
2000,1,37,0.0180620414167708,1.27880014812917,1.37302830028124,1.13657861969874,1.18385211770651,1.42102167655961,1.56220448285597
2000,1,38,0.0172410937585407,1.31012094583221,1.42038031645439,1.16573933628233,1.22275718628489,1.45450255538209,1.6180034466239
2000,1,39,0.016457459438377,1.24860416760685,1.42519641067621,1.08811772265009,1.22722755285843,1.40909061256361,1.62316526849399
2000,1,40,0.0157094425074775,1.24736791291421,1.42640184542408,1.08664979929067,1.22814684838086,1.40808602653775,1.6246568424673
2000,1,41,0.0149954241005305,1.27436571160159,1.47997732122789,1.11496352995158,1.27517460637544,1.43376789325161,1.68478003608034
2000,1,42,0.014313858932151,1.2749190543636,1.48455289444866,1.11593961722408,1.28006307755575,1.43389849150311,1.68904271134156
2000,1,43,0.01366327195256,1.24980549198059,1.51469554288292,1.08473487652313,1.30809499476887,1.41487610743804,1.72129609099697
