"n","B","j","psi_relax","psi_tmle","lower_relax","lower_tmle","upper_relax","upper_tmle"
1000,1,1,1.61015268340586,1.52954805871958,1.3891437860528,1.33439433997744,1.83116158075893,1.72470177746172
1000,2,1,1.8002946052645,1.64747266994704,1.55682995029632,1.44647268959963,2.04375926023269,1.84847265029445
1000,3,1,1.23194846459978,1.18605215697726,0.998066981118488,0.981047669220277,1.46582994808108,1.39105664473424
1000,4,1,1.42975812426111,1.467370169801,1.21096764877194,1.2382293101092,1.64854859975029,1.6965110294928
1000,5,1,1.0136602821809,1.23624968539713,0.704839778536171,1.00750879681026,1.32248078582564,1.464990573984
1000,6,1,1.02406309026687,1.37805879630637,0.710651279612885,1.18468801387469,1.33747490092085,1.57142957873804
1000,7,1,1.86662855322905,1.76971753614946,1.61834449733977,1.5581283767436,2.11491260911834,1.98130669555531
1000,8,1,1.38668162233525,1.34677846786106,1.18647639357464,1.15738131289091,1.58688685109585,1.5361756228312
1000,9,1,1.84203261679875,1.6021922621713,1.58170834771643,1.38232850540827,2.10235688588108,1.82205601893433
1000,10,1,1.49192016159496,1.46590040384119,1.27246420387777,1.25151874163219,1.71137611931214,1.68028206605019
1000,11,1,1.58022533611077,1.59957151180923,1.37034914439198,1.39440943652058,1.79010152782956,1.80473358709788
1000,12,1,1.89273098773082,1.49687049964705,1.59729332805833,1.29612321644856,2.18816864740331,1.69761778284554
1000,13,1,1.33043691403273,1.24664221854333,1.12939605290367,1.05936596991709,1.5314777751618,1.43391846716956
1000,14,1,1.52457440058486,1.56156370231667,1.29813520181497,1.34035073680826,1.75101359935475,1.78277666782507
1000,15,1,1.43720508197889,1.46037945920682,1.24080969124277,1.2674327043937,1.63360047271501,1.65332621401995
1000,16,1,1.47021104350331,1.49641577753313,1.26790957975548,1.30039035137468,1.67251250725115,1.69244120369157
1000,17,1,1.57616787105426,1.52587753214374,1.36588165053383,1.31955386478265,1.78645409157468,1.73220119950484
1000,18,1,1.27489063748505,1.26096537141865,1.07004293173855,1.06277845474538,1.47973834323156,1.45915228809192
1000,19,1,1.6123530782066,1.49848421960771,1.38348487782601,1.280011201294,1.84122127858718,1.71695723792141
1000,20,1,1.53930540309059,1.47541952331545,1.30477606609179,1.26128437779915,1.77383474008938,1.68955466883175
1000,21,1,1.07965996481023,1.21925164157772,0.811209909751997,1.0020888339989,1.34811001986845,1.43641444915655
1000,22,1,1.23444748531512,1.48386306111513,1.00249682467503,1.29181072377787,1.46639814595522,1.67591539845238
1000,23,1,1.55339888255964,1.53704416435045,1.35169695058469,1.33777774674172,1.75510081453459,1.73631058195919
1000,24,1,1.47497662259106,1.43423386965506,1.24743034759476,1.22925777703047,1.70252289758736,1.63920996227965
1000,25,1,1.6585510453064,1.52642005033847,1.43086400689121,1.33231312776099,1.88623808372159,1.72052697291595
1000,26,1,1.81501391047453,1.64275265127338,1.53631896302436,1.41197879612072,2.0937088579247,1.87352650642605
1000,27,1,1.51461138774872,1.5382691681456,1.31578219409008,1.34596372488867,1.71344058140736,1.73057461140253
1000,28,1,1.39185383014294,1.40565808831077,1.18679676931758,1.20147543706183,1.5969108909683,1.60984073955972
1000,29,1,1.37859809867529,1.42516973437761,1.17371193721025,1.23063082757401,1.58348426014033,1.6197086411812
1000,30,1,1.09095430743638,1.41264642981039,0.814187420589057,1.19027908900535,1.36772119428371,1.63501377061544
1000,31,1,1.20119450184165,1.18461982527454,1.00264615586601,0.989878691378957,1.39974284781728,1.37936095917012
1000,32,1,1.7734674323948,1.65146848286568,1.54997135767752,1.44321149331988,1.99696350711208,1.85972547241148
1000,33,1,1.70873899236178,1.50517995783534,1.45581749771875,1.30359440555263,1.96166048700482,1.70676551011805
1000,34,1,1.35799301430432,1.39268940691176,1.1252774956316,1.16395817432232,1.59070853297704,1.62142063950121
1000,35,1,1.05069505608148,1.11678747527656,0.835153253638139,0.903599306717125,1.26623685852483,1.32997564383599
1000,36,1,1.72545808875199,1.73392326077211,1.5207449163166,1.53570743407013,1.93017126118737,1.93213908747409
1000,37,1,1.48458986367947,1.46463720078149,1.27079915177585,1.25367735600388,1.69838057558309,1.67559704555911
1000,38,1,1.52644089957698,1.41929239973239,1.30276680536194,1.21381997541593,1.75011499379202,1.62476482404886
1000,39,1,1.3394036051047,1.43458734361353,1.09804321595925,1.22594941508622,1.58076399425014,1.64322527214084
1000,40,1,1.67283171660779,1.73719089419743,1.3794198932607,1.50405761366229,1.96624353995488,1.97032417473258
1000,41,1,1.48807947535086,1.50493815261241,1.27976048113399,1.29860783043465,1.69639846956774,1.71126847479017
1000,42,1,1.51948104053304,1.54185273090428,1.22998933790528,1.33027825532201,1.8089727431608,1.75342720648655
1000,43,1,1.71488456616328,1.56404884816771,1.46404813551313,1.35069154818262,1.96572099681343,1.77740614815279
1000,44,1,1.45722915170578,1.37526167896368,1.22501515317359,1.17962016050682,1.68944315023796,1.57090319742055
1000,45,1,1.36612521250811,1.39650772706366,1.15901030866536,1.18989142186777,1.57324011635086,1.60312403225954
1000,46,1,1.28444713914835,1.35928106746348,1.07913240867647,1.16602025465669,1.48976186962022,1.55254188027028
1000,47,1,1.65652482556587,1.56634531683249,1.46012217854027,1.38559354169474,1.85292747259148,1.74709709197024
1000,48,1,1.41446137487397,1.42661000866583,1.20248541376217,1.21999182605546,1.62643733598578,1.63322819127619
1000,49,1,1.89587131692423,1.63298367905219,1.65674297006537,1.43599878656188,2.13499966378308,1.82996857154251
1000,50,1,1.58013502644289,1.52068746916926,1.37411331591912,1.33054495940299,1.78615673696667,1.71082997893553
