"n","B","j","psi_relax","psi_tmle","lower_relax","lower_tmle","upper_relax","upper_tmle"
500,1,1,1.23235651084776,1.23026290759578,1.04015787133021,1.03808570146286,1.42455515036532,1.4224401137287
500,2,1,1.34407167026475,1.40250159913711,1.14773927343092,1.21233252793968,1.54040406709858,1.59267067033455
500,3,1,1.44084550586186,1.43580488365792,1.22182070309405,1.20620100219177,1.65987030862968,1.66540876512408
500,4,1,1.21265494660505,1.19407315727006,1.00899367421405,0.993482467914635,1.41631621899606,1.39466384662548
500,5,1,1.42351225621585,1.38946101547825,1.22639982270268,1.19204710625952,1.62062468972902,1.58687492469697
500,6,1,1.27576665646794,1.2684999096889,1.0844855806249,1.07854017260847,1.46704773231098,1.45845964676933
500,7,1,1.27765660376833,1.2335758043141,1.0769984665877,1.0422344975524,1.47831474094895,1.4249171110758
500,8,1,1.24099088667554,1.26079839421945,1.04909560212661,1.07236559653707,1.43288617122447,1.44923119190182
500,9,1,1.20859839436965,1.22053458915173,1.01626721551717,1.03311871621467,1.40092957322213,1.40795046208879
500,10,1,1.11758165918687,1.11309057950829,0.915760759694038,0.91325228613806,1.3194025586797,1.31292887287853
500,11,1,1.36021574035598,1.36860297185413,1.17919467263134,1.19036662343362,1.54123680808063,1.54683932027465
500,12,1,1.10957747734715,1.1065363169261,0.880606212737209,0.880417741954953,1.3385487419571,1.33265489189726
500,13,1,1.26920045094031,1.25395490815892,1.07083158175849,1.05493950261244,1.46756932012213,1.45297031370541
500,14,1,1.4649526454255,1.41720311008799,1.2681435313191,1.21905834058048,1.66176175953189,1.61534787959551
500,15,1,1.31808052096237,1.31213222588314,1.09909441347194,1.10042809201844,1.53706662845279,1.52383635974784
500,16,1,1.1937219127859,1.20932619400353,0.990797670439949,1.01486881787475,1.39664615513185,1.40378357013231
500,17,1,1.22819078338169,1.25707245776949,1.03134477270679,1.05409476137159,1.42503679405659,1.46005015416739
500,18,1,1.23378268092875,1.20813181401603,1.02838195970082,1.00734327878585,1.43918340215669,1.40892034924622
500,19,1,1.16904216498967,1.16930544590346,0.979514437031592,0.977425946206578,1.35856989294775,1.36118494560034
500,20,1,1.25953266559724,1.22698256797557,1.07011365592506,1.03945802835079,1.44895167526942,1.41450710760035
500,21,1,1.25968761244422,1.29949321409025,1.04249505729757,1.07663289348429,1.47688016759086,1.5223535346962
500,22,1,1.21222984880165,1.18080176991113,1.01377474779599,0.990609480678531,1.41068494980731,1.37099405914373
500,23,1,1.3393865356452,1.31808887547854,1.14274399354422,1.1251030052274,1.53602907774618,1.51107474572967
500,24,1,1.3850650441977,1.33539273787877,1.16043944553508,1.12657788162743,1.60969064286031,1.54420759413011
500,25,1,1.03506238700178,1.07582374076859,0.814389718341054,0.850928055426053,1.2557350556625,1.30071942611114
500,26,1,1.22440726803643,1.20430594856641,1.0343014871434,1.01867985430995,1.41451304892946,1.38993204282287
500,27,1,1.6759646424278,1.51803537351417,1.36439384437322,1.29086808654489,1.98753544048238,1.74520266048345
500,28,1,1.44882751394327,1.45087931197043,1.25682771854817,1.26360522337338,1.64082730933836,1.63815340056748
500,29,1,1.38910241157812,1.32400928285361,1.18173363832922,1.12193605854779,1.59647118482701,1.52608250715944
500,30,1,1.46608414194922,1.45947394202722,1.2806345146689,1.27909651059613,1.65153376922953,1.63985137345831
500,31,1,1.28735399949942,1.28401190528652,1.09758676725305,1.09780671268479,1.47712123174579,1.47021709788825
500,32,1,1.41122195540324,1.39763574016859,1.21123092704221,1.19798380486371,1.61121298376426,1.59728767547348
500,33,1,1.37198188974859,1.3493623966305,1.18234797023863,1.16903844840228,1.56161580925855,1.52968634485873
500,34,1,1.25572499026362,1.21541856923029,1.04186194220014,1.02667840694343,1.46958803832709,1.40415873151715
500,35,1,1.28640699917468,1.30132410978347,1.07718567853675,1.09171039544687,1.49562831981261,1.51093782412007
