"B","j","proj_lambda","delta_lambda","psi_proj","psi_delta","se_proj","se_delta","lower_proj","upper_proj","lower_delta","upper_delta"
4,7,0.223059574562618,0.223059574562618,1.70494754497771,1.68340531268376,0.220711815960319,0.171619870306216,1.27235238569549,2.13754270425994,1.34703036688357,2.01978025848394
4,8,0.212921172642392,0.212921172642392,1.70494754497772,1.68340800567752,0.220711815960319,0.171615293050707,1.27235238569549,2.13754270425994,1.34704203129814,2.01977398005691
4,9,0.203243576736423,0.203243576736423,1.70378573809505,1.68285816552893,0.220002007809684,0.169828632755645,1.27258180278807,2.13498967340203,1.34999404532787,2.01572228573
4,10,0.194005842500184,0.194005842500184,1.70376127409578,1.68379559995551,0.219999984535221,0.169689143235313,1.27256130440675,2.13496124378481,1.3512048792143,2.01638632069673
4,11,0.18518797754193,0.18518797754193,1.6994302723263,1.68955729058785,0.220142352515155,0.169804034115838,1.2679512613966,2.13090928325601,1.3567413837208,2.02237319745489
4,12,0.176770898154975,0.176770898154975,1.69812098819744,1.68789609555195,0.220170936755515,0.169663427890769,1.26658595215663,2.12965602423825,1.35535577688605,2.02043641421786
4,13,0.168736388016558,0.168736388016558,1.69668777050145,1.68789840181641,0.22012474491048,0.169666509434183,1.26524327047691,2.128132270526,1.35535204332541,2.02044476030741
4,14,0.161067058763898,0.161067058763898,1.68968175353396,1.68636250904713,0.218206660161968,0.169568907207027,1.2619966996165,2.11736680745142,1.35400745092136,2.0187175671729
4,15,0.15374631236214,0.15374631236214,1.69612981437078,1.68803714450309,0.218542376349467,0.170786753198474,1.26778675672582,2.12447287201573,1.35329510823408,2.0227791807721
4,16,0.146758305182729,0.146758305182729,1.64184436739607,1.6920485367838,0.198905540222697,0.171874810061197,1.25198950855958,2.03169922623255,1.35517390906386,2.02892316450375
5,1,0.0765671785183654,0.0765671785183654,2.22238001592526,2.22422355528724,0.306773198799659,0.270852781022158,1.62110454627793,2.82365548557259,1.69335210448381,2.75509500609067
5,2,0.0730870820856568,0.0730870820856568,2.22236550842302,2.22421758452987,0.306773095449422,0.270144895517248,1.62109024134215,2.82364077550389,1.69473358931606,2.75370157974367
5,3,0.0697651614067805,0.0697651614067805,2.22236927869686,2.22421140520759,0.30677178901105,0.26998272599758,1.6210965722352,2.82364198515852,1.69504526225234,2.75337754816285
5,4,0.066594227149606,0.066594227149606,2.22238010643763,2.2242108064704,0.30677234307909,0.269846848703411,1.62110631400262,2.82365389887265,1.69531098301171,2.75311062992909
5,5,0.0635674167482441,0.0635674167482441,2.22240394103426,2.22420829891438,0.306763392770172,0.269474256096442,1.62114769120472,2.82366019086379,1.69603875696536,2.75237784086341
5,6,0.060678179551016,0.060678179551016,2.22240587432794,2.22420852718436,0.30676360819571,0.269474076646419,1.62114920226435,2.82366254639153,1.69603933695738,2.75237771741134
5,7,0.057920262643472,0.057920262643472,2.22238253654544,2.2242077519895,0.306762602295306,0.269708637805063,1.62112783604664,2.82363723704424,1.69557882189158,2.75283668208743
5,8,0.0552876973157743,0.0552876973157743,2.22235447353068,2.22420254272475,0.306761249806959,0.269312924436824,1.62110242390904,2.82360652315232,1.69634921082857,2.75205587462092
5,9,0.0527747861451589,0.0527747861451589,2.22234388514068,2.22420370004399,0.306763388821109,0.269386132638942,1.62108764305131,2.82360012723005,1.69620688007166,2.75220052001632
5,10,0.0503760906655198,0.0503760906655198,2.22232600146136,2.22420366565568,0.306764940223978,0.269114715664183,1.62106671862236,2.82358528430035,1.69673882295388,2.75166850835747
5,11,0.0480864195974286,0.0480864195974286,2.22231432519344,2.22418638525407,0.306762304158975,0.268760477296196,1.62106020904185,2.82356844134503,1.69741584975352,2.75095692075461
