"n","B","j","psi_relax","psi_tmle","lower_relax","lower_tmle","upper_relax","upper_tmle"
500,1,1,1.46754402855787,1.47430459364183,1.24416078889859,1.24967380069293,1.69092726821715,1.69893538659073
500,2,1,1.49107260100393,1.5014674621623,1.26708086182737,1.2771039175093,1.71506434018048,1.7258310068153
500,3,1,1.5186836628813,1.51456814729778,1.28893067151268,1.28332352562799,1.74843665424992,1.74581276896758
500,4,1,1.64899006165536,1.65367589233106,1.43094289190821,1.43566344233473,1.86703723140251,1.87168834232739
500,5,1,1.34544173833508,1.34174330550124,1.12275032082918,1.11995844021377,1.56813315584098,1.56352817078872
500,6,1,1.45007423027861,1.44653412451573,1.21087759675525,1.20617174518809,1.68927086380197,1.68689650384336
500,7,1,1.35606203593091,1.35491434615405,1.12481567201932,1.12324542709213,1.5873083998425,1.58658326521597
500,8,1,1.47865454316457,1.48043539052638,1.25164213453175,1.25466993237349,1.70566695179738,1.70620084867927
500,9,1,1.41952345122888,1.41808368407755,1.19362593209781,1.19093532160997,1.64542097035995,1.64523204654514
500,10,1,1.59434810898981,1.58724261526749,1.35147549547847,1.34262515154389,1.83722072250114,1.83186007899109
500,11,1,1.47372053379203,1.4853857610826,1.23426774308041,1.24505666650634,1.71317332450366,1.72571485565885
500,12,1,1.47042418897316,1.47777603814935,1.2392682036902,1.24229583932417,1.70158017425612,1.71325623697453
500,13,1,1.49337151699005,1.49172018196152,1.26291313221002,1.26063725583902,1.72382990177008,1.72280310808402
500,14,1,1.45879502055261,1.45895532497127,1.23528739038532,1.23473089141743,1.6823026507199,1.68317975852511
500,15,1,1.48463515098702,1.48937702173684,1.25966040393945,1.26415939987556,1.70960989803459,1.71459464359813
500,16,1,1.33798202190461,1.33863189130926,1.1023994089544,1.10191802751352,1.57356463485481,1.575345755105
500,17,1,1.59510233722512,1.60140628060974,1.35614070005557,1.36126953157287,1.83406397439468,1.8415430296466
500,18,1,1.38853537446614,1.39193093134562,1.15936688300108,1.16058204939854,1.6177038659312,1.6232798132927
500,19,1,1.78955341261883,1.79223821540313,1.56815441724257,1.56982756229287,2.0109524079951,2.0146488685134
500,20,1,1.54727269915312,1.55599577051146,1.32355847527129,1.33090490850331,1.77098692303495,1.78108663251961
500,21,1,1.39287618996869,1.39236922100695,1.16627645922639,1.16630516568602,1.61947592071098,1.61843327632788
500,22,1,1.52950082061669,1.54170590432988,1.2952659013739,1.30727226459067,1.76373573985947,1.77613954406908
500,23,1,1.558110832832,1.56267104233072,1.33698773811389,1.33999047435284,1.77923392755011,1.78535161030859
500,24,1,1.33700306143235,1.34639432326279,1.11585051323431,1.12326085065884,1.55815560963039,1.56952779586674
500,25,1,1.4313447452553,1.44084949908724,1.20418456177443,1.21213582929454,1.65850492873616,1.66956316887993
500,26,1,1.38888898599299,1.39291865388706,1.15516267248988,1.15891840922309,1.6226152994961,1.62691889855104
500,27,1,1.51214508781167,1.51867818888322,1.2954848808099,1.30189715549654,1.72880529481344,1.7354592222699
500,28,1,1.44707260269397,1.45490593463081,1.22241836343766,1.22991371347473,1.67172684195028,1.6798981557869
500,29,1,1.44686677441051,1.45207499102165,1.22286494523981,1.22725073728676,1.67086860358121,1.67689924475654
500,30,1,1.49045105941756,1.48935207637606,1.25407460442246,1.25236165305404,1.72682751441265,1.72634249969807
500,31,1,1.5319467227352,1.53009146945384,1.30190108729899,1.29862011847032,1.76199235817141,1.76156282043736
500,32,1,1.43784877470322,1.44668895602794,1.20636304650663,1.21230354752789,1.66933450289982,1.681074364528
500,33,1,1.71010730827641,1.70708621168731,1.47381824918183,1.47280928253972,1.946396367371,1.94136314083491
500,34,1,1.54891964770439,1.54440170756832,1.31640896991253,1.31104489822218,1.78143032549625,1.77775851691446
500,35,1,1.58297399630326,1.58481369908007,1.35325849899624,1.35471325284003,1.81268949361029,1.81491414532011
500,36,1,1.40261890523591,1.4040292679776,1.16596602769592,1.16617484793339,1.6392717827759,1.6418836880218
500,37,1,1.43560650198793,1.44919081731264,1.20458332652098,1.21748839603428,1.66662967745488,1.680893238591
500,38,1,1.49597307304509,1.5095046370773,1.26847145795362,1.28258281614439,1.72347468813657,1.7364264580102
500,39,1,1.43924507590146,1.4377514600046,1.21428669928413,1.21182239621028,1.6642034525188,1.66368052379892
500,40,1,1.58724426637806,1.5847624749429,1.35325073877131,1.35040033769277,1.82123779398482,1.81912461219303
500,41,1,1.26187570157942,1.27093535363588,1.02750689452268,1.03520466341757,1.49624450863616,1.50666604385419
500,42,1,1.29691651238889,1.30267211055038,1.06590731555609,1.07109716632884,1.52792570922168,1.53424705477191
500,43,1,1.60555736004338,1.60175510561472,1.36271348920162,1.35770230482515,1.84840123088514,1.8458079064043
500,44,1,1.47884665055728,1.47652710415006,1.2541525977592,1.25110484756011,1.70354070335537,1.70194936074001
500,45,1,1.30171726319871,1.30028270546711,1.0576853787957,1.05559653600194,1.54574914760172,1.54496887493228
500,46,1,1.5098467182945,1.49718005981417,1.27686035710081,1.26466485622028,1.74283307948819,1.72969526340806
500,47,1,1.3483027865395,1.34348093658006,1.11455741966451,1.10963203114647,1.58204815341449,1.57732984201364
500,48,1,1.45673074151079,1.45498409792735,1.22984127831,1.22810568665491,1.68362020471158,1.6818625091998
500,49,1,1.49191424949156,1.48057379284481,1.25406038050708,1.24276232468161,1.72976811847603,1.718385261008
500,50,1,1.52737336066669,1.53709455274843,1.29170546848015,1.29973006609571,1.76304125285323,1.77445903940115
500,51,1,1.40533130998841,1.40257777373886,1.16771566314344,1.16460718297834,1.64294695683339,1.64054836449939
500,52,1,1.46887960508126,1.46560412524841,1.25575278734001,1.25131619158233,1.68200642282251,1.67989205891448
500,53,1,1.47681766587068,1.45810128069632,1.25493761144993,1.23560845517543,1.69869772029142,1.68059410621722
500,54,1,1.42210644596638,1.41979440443681,1.18881825148959,1.18689145989504,1.65539464044318,1.65269734897858
500,55,1,1.60090491873293,1.60060749248671,1.36489740855265,1.36470072215086,1.83691242891321,1.83651426282255
500,56,1,1.31586339522752,1.31156927568665,1.08651215789788,1.08260083419824,1.54521463255717,1.54053771717506
500,57,1,1.4959709925803,1.49230008909732,1.26127052045719,1.25844752736449,1.73067146470342,1.72615265083015
500,58,1,1.38385704730782,1.38702034903269,1.15926684609946,1.16225108563734,1.60844724851618,1.61178961242805
500,59,1,1.68503483988332,1.69445007785133,1.45583877509143,1.4645286760456,1.91423090467521,1.92437147965706
500,60,1,1.38349899116232,1.38136480541854,1.16183873330591,1.15865517546271,1.60515924901873,1.60407443537436
500,61,1,1.48677216138065,1.48350090344062,1.25754936140228,1.25262843682846,1.71599496135901,1.71437337005279
500,62,1,1.61409991150161,1.61155974795004,1.39099869581128,1.38808907555269,1.83720112719195,1.83503042034738
500,63,1,1.56230367584502,1.55943044943506,1.33822304033024,1.33462855889139,1.7863843113598,1.78423233997873
500,64,1,1.32552110185002,1.33580463970209,1.09578933797814,1.10642228408348,1.55525286572191,1.5651869953207
500,65,1,1.47591126786347,1.46687881217217,1.25031096836609,1.24006907241959,1.70151156736085,1.69368855192475
500,66,1,1.38479499556251,1.38107300040529,1.14047714568926,1.13855061956811,1.62911284543576,1.62359538124247
500,67,1,1.54445256088098,1.52032933506859,1.29798371783713,1.27151124886431,1.79092140392482,1.76914742127288
500,68,1,1.58262924602423,1.5871158306555,1.35582602129106,1.35998108219528,1.8094324707574,1.81425057911572
500,69,1,1.61864181234862,1.62222420753078,1.38410725134484,1.38646597007677,1.8531763733524,1.85798244498479
500,70,1,1.32508039557485,1.32205643692806,1.10599520037129,1.10237088705267,1.54416559077841,1.54174198680345
500,71,1,1.79386286554186,1.79835058190505,1.56741637510848,1.57114675249513,2.02030935597524,2.02555441131498
500,72,1,1.59474524225414,1.5981817393039,1.37263208578822,1.37543493437069,1.81685839872006,1.82092854423711
