"n","B","j","psi_relax","psi_tmle","lower_relax","lower_tmle","upper_relax","upper_tmle"
500,1,1,1.23581221282251,1.24581086124675,1.06392182923771,1.07447326175236,1.40770259640731,1.41714846074113
500,2,1,1.24181113695378,1.24328242386563,1.07416316693934,1.07640556630543,1.40945910696822,1.41015928142583
500,3,1,1.20211622340074,1.19242375875678,1.02594684968443,1.01985216894722,1.37828559711705,1.36499534856634
500,4,1,1.19983904143424,1.17462840575594,1.03373989546519,1.00797231642607,1.3659381874033,1.3412844950858
500,5,1,1.23904968821731,1.2456654782822,1.05927213995867,1.06598314928178,1.41882723647594,1.42534780728262
500,6,1,1.26955729593903,1.27005577404491,1.08884568446959,1.09050541274289,1.45026890740846,1.44960613534693
500,7,1,1.25950191978833,1.23043440108964,1.08542025555408,1.05733897975553,1.43358358402258,1.40352982242375
500,8,1,1.15409416623467,1.14006383978555,0.986434225192234,0.974300644055672,1.32175410727711,1.30582703551543
500,9,1,1.35819761640364,1.31427793155434,1.1814864096752,1.13888489385866,1.53490882313207,1.48967096925003
500,10,1,1.20857397592378,1.20576678758252,1.04423578615846,1.04028642599804,1.3729121656891,1.371247149167
500,11,1,1.34231176167169,1.32100524039877,1.16101317982233,1.15625344210877,1.52361034352104,1.48575703868878
500,12,1,1.19407910519185,1.20438146848352,1.01244372214852,1.02612378894172,1.37571448823518,1.38263914802531
500,13,1,1.13379810034601,1.13780788569033,0.969131388244281,0.972384415704645,1.29846481244773,1.30323135567601
500,14,1,1.34563718901509,1.30820353684454,1.16574815580623,1.13010129680581,1.52552622222394,1.48630577688328
500,15,1,1.33810659436859,1.32667176874929,1.16771315828936,1.15802817882729,1.50850003044783,1.49531535867129
500,16,1,1.23102653937783,1.23052697465484,1.06135745508212,1.06676948986684,1.40069562367354,1.39428445944284
500,17,1,1.06676381349062,1.07133939674167,0.888940948027701,0.89613153268514,1.24458667895353,1.24654726079821
500,18,1,1.36270621098484,1.35197815696429,1.17764479249951,1.17295301898993,1.54776762947018,1.53100329493866
500,19,1,1.20292197807928,1.22926992197329,1.03024756290705,1.05606777725822,1.37559639325152,1.40247206668836
