"n","B","j","relax_lambda","proj_lambda","delta_lambda","psi_relax","psi_proj","psi_delta","se_relax_np","se_proj_np","se_delta_np","lower_relax_np","upper_relax_np","lower_proj_np","upper_proj_np","lower_delta_np","upper_delta_np","s0","s0.1","s0.2","s0.3","s0.4","s0.5","s0.6","s0.7","s0.8","lambda.min","lambda.min.1","lambda.min.2","lambda.min.3","lambda.min.4","lambda.min.5","lambda.min.6","lambda.min.7","lambda.min.8","se_relax_delta","se_proj_delta","se_delta_delta","lower_relax_delta","upper_relax_delta","lower_proj_delta","upper_proj_delta","lower_delta_delta","upper_delta_delta"
500,6,1,0.102855726955436,0.102855726955436,0.102855726955436,1.33726557968093,1.35447280120152,1.35446089015353,0.115448343771711,0.115750216170399,0.115750257839572,1.11098682588838,1.56354433347349,1.12760237750754,1.5813432248955,1.12759038478797,1.5813313955191,0.0931486911765927,0.0990834668032098,0.0990835363972514,1.15469414497481,1.51983701438705,1.16026920626723,1.54867639613581,1.16025715881492,1.54866462149215,0.0904507913432862,0.0973112774567271,0.0974636353713438,1.15998202864809,1.51454913071377,1.16374269738634,1.54520290501671,1.1634321648257,1.54548961548137,0.11556377370209,0.11589615107126,0.115896189176054,1.11076058322484,1.56377057613703,1.12731634510185,1.58162925730119,1.12730435936847,1.5816174209386
500,6,2,0.0676722001102882,0.0676722001102882,0.0676722001102882,1.33726557968093,1.35447225295433,1.35446094048412,0.115469507675213,0.115750204254263,0.115750258616605,1.11094534463752,1.56358581472435,1.12760185261598,1.58134265329269,1.12759043359557,1.58133144737266,0.0927656159740838,0.099553051070641,0.0995531981959086,1.15544497237173,1.51908618699014,1.15934827285588,1.54959623305279,1.15933667202014,1.5495852089481,0.0871618626470307,0.0980873089970113,0.0994437097404175,1.16642832889275,1.50810283046911,1.16222112732019,1.54672337858848,1.1595512693929,1.54937061157533,0.115493672448097,0.115764446271596,0.115764493094282,1.11089798168266,1.5636331776792,1.127573938262,1.58137056764666,1.12756253401932,1.58135934694891
500,7,1,0.192841420451922,0.192841420451922,0.192841420451922,1.52806248538137,1.56633392997497,1.56630987709717,0.123250428996314,0.12090653511942,0.120906625761366,1.2864916445486,1.76963332621415,1.32935712114091,1.80331073880903,1.32933289060489,1.80328686358945,0.101092380919917,0.108938659848962,0.108938976225528,1.32992141877833,1.72620355198441,1.352814156671,1.77985370327893,1.35278948369514,1.77983027049921,0.0982659768440384,0.108166299286986,0.10795646944221,1.33546117076706,1.72066379999569,1.35432798337248,1.77833987657746,1.35471519699044,1.7779045572039,0.121033979491228,0.119521903595234,0.119521916305266,1.29083588557856,1.76528908518418,1.33207099892831,1.80059686102163,1.33204692113885,1.80057283305549
500,7,2,0.126876777605479,0.126876777605479,0.126876777605479,1.52806248538137,1.56633276291386,1.56631067616339,0.123423769919886,0.120906520908655,0.120906515958451,1.28615189633839,1.76997307442435,1.3293559819329,1.80330954389483,1.32933390488482,1.80328744744195,0.100807435274886,0.109068780367169,0.109068932166875,1.33047991224259,1.72564505852015,1.35255795339421,1.78010757243351,1.35253556911631,1.78008578321046,0.0930092863375633,0.107653932862302,0.107389390582392,1.34576428415975,1.71036068660299,1.35533105450375,1.77733447132397,1.3558274706219,1.77679388170488,0.121822145384364,0.119813997372414,0.119813974729344,1.28929108042802,1.76683389033472,1.33149732806393,1.80116819776379,1.33147528569387,1.8011460666329
500,8,1,0.128820759232279,0.128820759232279,0.128820759232279,1.54207856363093,1.52593670353995,1.52591767717442,0.122328683724713,0.121386844050172,0.121387170230056,1.3023143435305,1.78184278373137,1.28801848920161,1.76385491787829,1.28799882352351,1.76383653082533,0.0988920406184507,0.103908779800114,0.103909606785138,1.34825016401877,1.7359069632431,1.32227549513173,1.72959791194817,1.32225484787555,1.72958050647329,0.0903547417959029,0.101715458935143,0.10190225662121,1.36498326971096,1.7191738575509,1.32657440402707,1.72529900305283,1.32618925419685,1.72564610015199,0.12223985671961,0.121265310390417,0.121265593465848,1.3024884444605,1.78166868280137,1.28825669517473,1.76361671190517,1.28823711398136,1.76359824036748
500,8,2,0.0847554575245298,0.0847554575245298,0.0847554575245298,1.54207856363094,1.52592994318932,1.52591773272465,0.122945750700682,0.121386814137384,0.121387168084861,1.3011048922576,1.78305223500427,1.28801178748004,1.76384809889859,1.28799888327832,1.76383658217098,0.0965473799630309,0.104815597029291,0.104816533403492,1.3528456989034,1.73131142835848,1.32049137301191,1.73136851336673,1.3204773272538,1.73135813819549,0.0904351927606636,0.103489555242751,0.0986780661235832,1.36482558582003,1.71933154144184,1.32309041491352,1.72876947146511,1.33250872312243,1.71932674232687,0.122896995242422,0.121233989099993,0.121234313907401,1.30120045295579,1.78295667430608,1.28831132455333,1.7635485618253,1.28829847746614,1.76353698798316
500,9,1,0.112831024063026,0.112831024063026,0.112831024063026,1.52403623270241,1.50184365417555,1.50181593931673,0.119898268336214,0.120041594151482,0.120041539933059,1.28903562676343,1.75903683864138,1.26656212963864,1.73712517871245,1.26653452104794,1.73709735758553,0.0971293006783855,0.104597195201395,0.104597983436951,1.33366280337277,1.71440966203204,1.29683315158081,1.70685415677028,1.29680389178031,1.70682798685316,0.0924470152372963,0.0970699992132212,0.103470259497781,1.34284008283731,1.70523238256751,1.31158645571763,1.69210085263346,1.29901423070108,1.70461764793238,0.119512629419571,0.119581343139296,0.119581285680889,1.28979147904005,1.75828098636477,1.26746422162253,1.73622308672857,1.26743661938219,1.73619525925127
500,9,2,0.0742352795032027,0.0742352795032027,0.0742352795032027,1.52403623270241,1.50184377402835,1.50181593971434,0.11994494736525,0.120041595156333,0.120041540112002,1.28894413586652,1.7591283295383,1.26656224752193,1.73712530053476,1.26653452109481,1.73709735833386,0.0972079195624321,0.104603023132472,0.104603808432589,1.33350871036004,1.71456375504477,1.2968218486887,1.70686569936799,1.29679247518646,1.70683940424221,0.0925087894244207,0.0970700044939011,0.0970702937905777,1.34271900543054,1.70535345997427,1.3115865652203,1.69210098283639,1.3115581638848,1.69207371554387,0.119568080876304,0.119580513446086,0.119580454870656,1.28968279418485,1.75838967121996,1.26746596767402,1.73622158038268,1.26743824816785,1.73619363126082
500,10,1,0.190532786665135,0.190532786665135,0.190532786665135,1.51330155153887,1.52999160704517,1.53084705175845,0.120862455908034,0.121277853958561,0.121278516006614,1.27641113795913,1.75019196511862,1.29228701328639,1.76769620080395,1.29314116038548,1.76855294313141,0.0992712306092181,0.107090557244111,0.107091530427241,1.31872993954481,1.70787316353294,1.32009411484671,1.73988909924362,1.32094765212105,1.74074645139584,0.0973746019467943,0.105402453065521,0.105537481066168,1.32244733172316,1.70415577135459,1.32340279903675,1.73658041505359,1.32399358886876,1.73770051464814,0.120171296316434,0.120498985028124,0.120499472362192,1.27776581075866,1.74883729231908,1.29381359639005,1.76616961770029,1.29466808592855,1.76702601758834
500,10,2,0.125357850733585,0.125357850733585,0.125357850733585,1.51330155153887,1.52999116517453,1.53001263660572,0.120356254020391,0.121277877573514,0.121277853410175,1.27740329365891,1.74919980941884,1.29228652513044,1.76769580521862,1.29230804392178,1.76771722928966,0.0974269369044589,0.107136006338248,0.107136098600297,1.32234475520613,1.70425834787161,1.32000459275156,1.73997773759749,1.32002588334914,1.7399993898623,0.0939343043506927,0.104024435234348,0.104279234574269,1.32919031501152,1.69741278806623,1.3261032721152,1.73387905823385,1.32562533684015,1.73439993637128,0.11974196719236,0.120462035476821,0.120462008819129,1.27860729584185,1.7479958072359,1.29388557563996,1.7660967547091,1.29390709932023,1.76611817389121
500,11,1,0.123076663470438,0.123076663470438,0.123076663470438,1.45599398747002,1.50332511752796,1.50330762605277,0.116603824586522,0.115205829871,0.115205657956381,1.22745049128044,1.6845374836596,1.2775216909808,1.72912854407512,1.27750453645826,1.72911071564728,0.0967132412634462,0.101967276866075,0.101966986895377,1.26643603459366,1.64555194034637,1.30346925487045,1.70318098018546,1.30345233173783,1.70316292036771,0.0883106985135259,0.0987777435845888,0.0994824142661872,1.28290501838351,1.62908295655653,1.30972074010216,1.69692949495375,1.30832209409104,1.6982931580145,0.116339499563613,0.114961178751889,0.114961011425357,1.22796856832534,1.6840194066147,1.27800120717426,1.72864902788166,1.27798404365907,1.72863120844647
500,11,2,0.0809762260771993,0.0809762260771993,0.0809762260771993,1.45599398747002,1.50331916830905,1.5033076621326,0.116089556461665,0.115205825711744,0.115205666143094,1.22845845680515,1.68352951813488,1.27751574991403,1.72912258670407,1.27750455649214,1.72911076777307,0.0955406105224465,0.10240935596807,0.102409169992126,1.26873439084602,1.64325358409401,1.30259683061163,1.70404150600646,1.30258568894804,1.70402963531717,0.08480077010879,0.100983067678901,0.100855382453649,1.28978447805679,1.62220349688325,1.3053923556584,1.70124598095969,1.30563111252345,1.70098421174176,0.115829254315243,0.114900215483758,0.114900055704565,1.22896864901214,1.68301932592789,1.27811474596088,1.72852359065721,1.27810355295166,1.72851177131355
500,12,1,0.156594777030955,0.156594777030955,0.156594777030955,1.5675301126133,1.5437554783709,1.54373354998487,0.121102002436905,0.119955265294625,0.119955331727982,1.33017018783696,1.80489003738963,1.30864315839343,1.77886779834836,1.30862109979803,1.77884600017172,0.090426082764937,0.10214827137714,0.102148443372654,1.39029499039402,1.74476523483257,1.3435448664717,1.74396609027009,1.34352260097447,1.74394449899527,0.0825110650253569,0.099231441270085,0.0998606963501091,1.4058084251636,1.729251800063,1.34926185348153,1.73824910326026,1.34800658513866,1.73946051483109,0.120960418301923,0.119900673427694,0.119900739291356,1.33044769274153,1.80461253248507,1.30875015845262,1.77876079828917,1.30872810097382,1.77873899899593
500,12,2,0.103028906616509,0.103028906616509,0.103028906616509,1.5675301126133,1.54375169337455,1.54373357320775,0.120951972212665,0.119955242361921,0.119955327685601,1.33046424707647,1.80459597815012,1.30863941834519,1.77886396840392,1.30862113094397,1.77884601547153,0.0893864764815096,0.102856100517228,0.102856129572952,1.39233261870954,1.74272760651706,1.34215373636079,1.74534965038832,1.34213555924476,1.74533158717074,0.0821557675272388,0.101847216317804,0.101767673929018,1.40650480825991,1.72855541696668,1.34413114939166,1.74337223735745,1.34426893230687,1.74319821410862,0.120910875946186,0.120007612087989,0.120007693996505,1.33054479575877,1.80451542946782,1.30853677368209,1.77896661306701,1.3085184929746,1.7789486534409
500,13,1,0.143248295837166,0.143248295837166,0.143248295837166,1.51784135291603,1.50681017200823,1.50766152397598,0.117799286333956,0.117716457640257,0.117716485379149,1.28695475170148,1.74872795413058,1.27608591503333,1.73753442898314,1.27693721263284,1.73838583531911,0.100113390295363,0.104449269232414,0.10444948551641,1.32161910793712,1.71406359789494,1.3020896043127,1.71153073970377,1.30294053236381,1.71238251558814,0.0918086981154856,0.101669302634031,0.0979359459394513,1.33789630460968,1.69778640122238,1.30753833884553,1.70608200517093,1.31570706993465,1.6996159780173,0.117857432532121,0.117708141307949,0.117708150917682,1.28684078515307,1.74884192067899,1.27610221504465,1.73751812897181,1.27695354817732,1.73836949977463
500,13,2,0.0942478132068478,0.0942478132068478,0.0942478132068478,1.51784135291603,1.50680972769997,1.50766153717496,0.118058767672038,0.117716532334298,0.117716481691135,1.28644616827884,1.74923653755322,1.27608532432475,1.7375341310752,1.27693723306033,1.73838584128958,0.10072921402983,0.104637900614313,0.104638307727428,1.32041209341756,1.7152706124145,1.30171944249592,1.71190001290403,1.3025704540292,1.71275262032072,0.0887986270183598,0.102538641935485,0.1025386338163,1.34379604396004,1.69188666187201,1.30583398950642,1.70778546589352,1.30668581489501,1.70863725945491,0.118074097887733,0.117693172543736,0.117693088506127,1.28641612105607,1.74926658477599,1.27613110951425,1.7374883458857,1.27698308370295,1.73833999064697
