"n","B","j","relax_lambda","proj_lambda","delta_lambda","psi_relax","psi_proj","psi_delta","se_relax_np","se_proj_np","se_delta_np","lower_relax_np","upper_relax_np","lower_proj_np","upper_proj_np","lower_delta_np","upper_delta_np","s0","s0.1","s0.2","s0.3","s0.4","s0.5","s0.6","s0.7","s0.8","lambda.min","lambda.min.1","lambda.min.2","lambda.min.3","lambda.min.4","lambda.min.5","lambda.min.6","lambda.min.7","lambda.min.8","se_relax_delta","se_proj_delta","se_delta_delta","lower_relax_delta","upper_relax_delta","lower_proj_delta","upper_proj_delta","lower_delta_delta","upper_delta_delta","se_relax_proj","se_proj_proj","se_delta_proj","lower_relax_proj","upper_relax_proj","lower_proj_proj","upper_proj_proj","lower_delta_proj","upper_delta_proj","se_relax_proj_cv","se_proj_proj_cv","se_delta_proj_cv","lower_relax_proj_cv","upper_relax_proj_cv","lower_proj_proj_cv","upper_proj_proj_cv","lower_delta_proj_cv","upper_delta_proj_cv"
500,1,1,0.982785399186309,0.982785399186309,0.982785399186309,-0.346483914793913,1.50105814838108,1.54199270144183,2.72277791680598,0.324074020835663,0.321917503168068,-5.68312863173363,4.9901608021458,0.865873067543184,2.13624322921898,0.911034395232414,2.17295100765124,2.03507484298065,0.248248804343468,0.247763407621646,-4.33523060703598,3.64226277744816,1.01449049186788,1.98762580489428,1.0563764225034,2.02760898038025,1.15258533368223,0.247056043178181,0.246106779465551,-2.60555116881108,1.91258333922325,1.01682830375185,1.98528799301032,1.05962341368935,2.02436198919431,1.5746831671963,0.170888211392432,0.171021564878116,-3.43286292249866,2.73989509291083,1.16611725405191,1.83599904271025,1.20679043428072,1.87719496860294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,1,2,0.646607166833024,0.646607166833024,0.646607166833024,-0.346483914793788,1.50083443605768,1.50356163214198,4.3379932951682,0.32405969651176,0.324029300353414,-8.84895077332347,8.15598294373589,0.865677430894627,2.13599144122073,0.868464203449285,2.13865906083467,3.74955451969736,0.24981356848952,0.2498854069235,-7.69561077340061,7.00264294381303,1.01119984181822,1.99046903029714,1.01378623457192,1.99333702971204,3.70793189430478,0.176930651426923,0.247925824516549,-7.61403042763116,6.92106259804358,1.15405035926091,1.84761851285445,1.01762701608954,1.98949624819441,1.61764103846145,0.164740517246364,0.164815869116969,-3.51706035017823,2.82409252059065,1.1779430222548,1.82372584986055,1.18052252867272,1.82660073561123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,2,1,0.664935630529492,0.664935630529492,0.664935630529492,-0.800843890843882,1.34326994572276,1.34323070519354,1.13545719941551,0.205169024409434,0.205095016364733,-3.02634000169828,1.42465222001051,0.941138657880268,1.74540123356525,0.941244473118661,1.74521693726842,0.720516052052279,0.143281880016118,0.143247177135364,-2.21305535286635,0.611367571178584,1.06243746089117,1.62410243055435,1.06246623800822,1.62399517237885,0.670617152488156,0.131479595774944,0.13144677391383,-2.11525350972067,0.513565728032902,1.08556993800387,1.60096995344165,1.08559502832243,1.60086638206464,1.05206860066167,0.159153757766885,0.159157812663221,-2.86289834814075,1.26121056645299,1.03132858049966,1.65521131094586,1.03128139237362,1.65518001801345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,2,2,0.437483243583982,0.437483243583982,0.437483243583982,-0.800843890843879,1.34306659843107,1.34534906862692,2.12199734635561,0.205375649623263,0.205133012374098,-4.95995868970087,3.35827090801311,0.940530325169474,1.74560287169266,0.943288364373693,1.74740977288016,1.91077827586407,0.181289952286359,0.180952308324846,-4.54596931153746,2.9442815298497,0.987738291949806,1.69839490491233,0.990682544310226,1.70001559294362,1.63818113556903,0.180651555090727,0.180304607292242,-4.01167891655918,2.40999113487142,0.988989550453244,1.69714364640889,0.99195203833413,1.69874609891972,1.12575262142434,0.160187050008171,0.160215712480864,-3.00731902883558,1.40563124714782,1.02909998041505,1.65703321644708,1.03132627216443,1.65937186508942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,3,1,1.12423473476267,1.12423473476267,1.12423473476267,-1.28230888113816,1.4037233112263,1.62285621624397,5.35955250503234,0.240886086287519,0.278734770254074,-11.7870317910015,9.22241402872524,0.931586582102759,1.87586004034983,1.07653606654598,2.16917636594195,2.78072541680003,0.134425194496011,0.14902150977486,-6.73253069806622,4.1679129357899,1.14024993001411,1.66719669243848,1.33077405708524,1.91493837540269,2.06151753499301,0.125258947859728,0.133522611546021,-5.32288324972445,2.75826548744814,1.15821577342123,1.64923084903136,1.36115189761377,1.88456053487417,1.77170297281197,0.185780722664532,0.187224179547499,-4.75484670784962,2.19022894557331,1.03959309480381,1.76785352764878,1.25589682433087,1.98981560815707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,4,1,0.380877546055782,0.380877546055782,0.380877546055782,-1.47472613405685,1.23994802585761,1.54586018644887,2.9024275567501,0.215187555686468,0.251516915085088,-7.16348414528705,4.21403187717334,0.818180416712134,1.66171563500309,1.05288703288209,2.03883334001564,1.93411316771108,0.138915731487011,0.159869311157901,-5.26558794277057,2.31613567465686,0.967673192143069,1.51222285957215,1.23251633657938,1.85920403631835,1.68311049492815,0.129378976902789,0.15073374716087,-4.77362270411603,1.82417043600232,0.986365231128144,1.49353082058708,1.25042204201356,1.84129833088417,1.30147063360767,0.164849760549099,0.166676282032756,-4.02560857592789,1.07615630781418,0.916842495181377,1.56305355653385,1.21917467366467,1.87254569923307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,4,2,0.250591992076142,0.250591992076142,0.250591992076142,-1.47472613405686,1.20532959817488,1.54574586975775,2.74863460541204,0.214475148500344,0.2515172866738,-6.86204996066445,3.91259769255073,0.784958307114207,1.62570088923555,1.0527719878771,2.0387197516384,1.82579652697839,0.139129262149453,0.160647854547085,-5.05328732693451,2.10383505882079,0.932636244361954,1.47802295198781,1.23087607484546,1.86061566467003,1.58590106600401,0.130211993021341,0.145448101354703,-4.58309222342472,1.633639955311,0.950114091853053,1.46054510449671,1.26066759110253,1.83082414841297,1.28391620765576,0.162501073088679,0.164726508904383,-3.99120190106214,1.04174963294842,0.88682749492107,1.52383170142869,1.22288191230516,1.86860982721034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,5,1,0.27304759560659,0.27304759560659,0.27304759560659,-0.663846994871582,3.28148253743999,2.67418833177032,4.38510892856232,0.518488632194593,0.538006764398844,-9.25866049485374,7.93096650511057,2.26524481833859,4.29772025654139,1.61969507354858,3.72868158999205,3.69978148188088,0.23123227372797,0.286962770319895,-7.9154186993581,6.58772470961494,2.82826728093317,3.73469779394681,2.11174130194332,3.23663536159731,3.69036439521657,0.149046994640319,0.217662773850897,-7.89696120949606,6.5692672197529,2.98935042794496,3.57361464693502,2.24756929502256,3.10080736851807,1.28139704864407,0.453000863388105,0.447127514485158,-3.17538521021395,1.84769122047079,2.39360084519931,4.16936422968068,1.79781840337941,3.55055826016123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,5,2,0.179647085062439,0.179647085062439,0.179647085062439,-0.663846994871582,3.18723224676703,2.67408352684361,3.41755581784021,0.509471533798187,0.538006423867734,-7.3622563978384,6.03456240809524,2.18866804052259,4.18579645301148,1.61959093606285,3.72857611762437,2.83974901747185,0.263930561173504,0.353558920999775,-6.2297550691164,4.90206107937323,2.66992834686696,3.7045361466671,1.98110804168405,3.36705901200317,2.59894638276879,0.195265176935943,0.281149386609404,-5.75778190509842,4.43008791535525,2.80451249997258,3.56995199356148,2.12303072908918,3.22513632459804,1.42330754145068,0.461445490449783,0.445777221692455,-3.45352977611491,2.12583578637174,2.28279908548546,4.09166540804861,1.8003601723264,3.54780688136082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,6,1,0.437525174107134,0.437525174107134,0.437525174107134,-0.558454108306299,3.51274073673377,3.10163381952597,6.71327819742527,0.370625175242999,0.366059191633957,-13.7164793752598,12.5995711586472,2.78631539325749,4.23916608021005,2.38415780392342,3.81910983512853,3.80859059348845,0.159678262507738,0.176448167126726,-8.02329167154366,6.90638345493107,3.1997713422186,3.82571013124894,2.75579541195759,3.44747222709436,3.61041427619292,0.150373369757285,0.166464051786989,-7.63486608964442,6.51795787303182,3.21800893200949,3.80747254145805,2.77536427802348,3.42790336102847,1.59881349768685,0.324401603251928,0.286974481496908,-3.69212856377253,2.57522034715993,2.87691359435999,4.14856787910755,2.53916383579203,3.66410380325991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,6,2,0.287862348669171,0.287862348669171,0.287862348669171,-0.5584541083063,3.69963590563868,3.10173833450567,6.71403713125132,0.399875757168095,0.366071457656586,-13.7179668855589,12.6010586689463,2.91587942158921,4.48339238968814,2.38423827749876,3.81923839151258,3.80994633567759,0.174117987318607,0.186339696122613,-8.02594892623438,6.90904070962179,3.35836465049421,4.04090716078314,2.73651253010534,3.46696413890599,3.34755953969446,0.170862908459759,0.184231632713288,-7.11967080610744,6.00276258949484,3.36474460505755,4.0345272062198,2.74064433438762,3.46283233462371,1.60402176947972,0.357677307020844,0.287705898752214,-3.70233677648655,2.58542855987395,2.99858838387782,4.40068342739953,2.53783477295133,3.66564189606001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,7,1,1.10241270476961,1.10241270476961,1.10241270476961,-2.88883223863408,1.96674116613637,1.68217477976983,10.6057918393108,0.523580781777183,0.598539605593299,-23.6761842436832,17.8985197664151,0.940522833853087,2.99295949841965,0.509037152806967,2.8553124067327,6.90765303116743,0.312195010108372,0.367496841273368,-16.4278321797222,10.6501677024541,1.35483894632396,2.57864338594878,0.961880970874032,2.40246858866564,5.36003040505827,0.294411255381,0.0894855400568205,-13.3944918325483,7.61682735528013,1.38969510558961,2.54378722668313,1.50678312125847,1.8575664382812,2.11752258610374,0.181602521087441,0.180408739521587,-7.03917650739742,1.26151203012925,1.61080022480498,2.32268210746775,1.32857365030752,2.03577590923214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,7,2,0.725313945752544,0.725313945752544,0.725313945752544,-2.88883223863408,1.75768813233579,1.67411585300166,10.7285128879377,0.43419129757903,0.598934962719289,-23.916717498992,18.1390530217238,0.906673189080888,2.60870307559069,0.500203326071855,2.84802837993147,8.03780937828705,0.341384620483442,0.517290262160273,-18.6429386200767,12.8652741428085,1.08857427618824,2.42680198848333,0.660226939167528,2.6880047668358,7.82608451560152,0.236815003126352,0.0795295065140825,-18.2279578892131,12.4502934119449,1.29353072620814,2.22184553846344,1.51823802023406,1.82999368576926,1.98266511530025,0.169271217313658,0.167757952794077,-6.77485586462257,0.997191387354401,1.42591654640102,2.08945971827056,1.34531026552527,2.00292144047805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,8,1,1.22329990024541,1.22329990024541,1.22329990024541,-0.216328865979006,-0.216328865979006,-0.216328865979006,0.953787621230177,0.953787621230177,0.953787621230177,-2.08575260359015,1.65309487163214,-2.08575260359015,1.65309487163214,-2.08575260359015,1.65309487163214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.242557274977729,0.242557274977729,0.242557274977729,-0.691741124935355,0.259083392977342,-0.691741124935355,0.259083392977342,-0.691741124935355,0.259083392977342,0.953787621230177,0.953787621230177,0.953787621230177,-2.08575260359015,1.65309487163214,-2.08575260359015,1.65309487163214,-2.08575260359015,1.65309487163214,0.953787621230177,0.953787621230177,0.953787621230177,-2.08575260359015,1.65309487163214,-2.08575260359015,1.65309487163214,-2.08575260359015,1.65309487163214
500,8,2,0.804849648091744,0.804849648091744,0.804849648091744,-0.216328865979006,1.83548196560562,1.58307430685774,8.62922790015227,0.26340181196594,0.348408170714513,-17.1296155502774,16.6969578183194,1.31921441415238,2.35174951705886,0.900194292257292,2.26595432145818,5.49347037657313,0.149302350650016,0.179987490849303,-10.9835308040623,10.5508730721043,1.54284935833159,2.12811457287965,1.2302988247931,1.93584978892237,5.42822978003915,0.145944240397815,0.178772534032556,-10.8556592348557,10.4230015028977,1.5494312544259,2.12153267678534,1.23268014015393,1.93346847356155,1.97522247710333,0.184914917854875,0.185994420834192,-4.08776492110153,3.65510718914352,1.47304872661006,2.19791520460117,1.21852524202272,1.94762337169275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,9,1,1.1528684124737,1.1528684124737,1.1528684124737,-2.49407600233044,1.43771341879767,1.45091205078414,8.49732810481965,0.366643911830835,0.36575719624643,-19.148839087777,14.1606870831161,0.719091351609233,2.15633548598611,0.734027946141135,2.16779615542714,4.83243539322287,0.20298283170811,0.202866873488748,-11.9656493730473,6.97749736838638,1.03986706864977,1.83555976894556,1.05329297874619,1.84853112282208,4.08000497982142,0.190390589615221,0.194183993716617,-10.4908857627804,5.50273375811953,1.06454786315184,1.8108789744435,1.07031142309957,1.83151267846871,2.37262971123757,0.179018294663039,0.179179910370034,-7.14443023635607,2.15627823169518,1.08683756125811,1.78858927633722,1.09971942645887,1.8021046751094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,9,2,0.758510432224674,0.758510432224674,0.758510432224674,-2.49407600233044,1.43542963705126,1.44832583683207,7.63110441791324,0.366602397653545,0.36578307021393,-17.4510406614404,12.4628886567795,0.716888937650311,2.15397033645221,0.731391019212767,2.16526065445137,4.36987487076036,0.203364466516546,0.20324331271559,-11.0590307490207,6.07087874435986,1.03683528267883,1.83402399142369,1.04996894390951,1.84668272975462,3.75854410258421,0.195117820019588,0.197526652968515,-9.86082244339549,4.87267043873462,1.05299870981287,1.81786056428965,1.06117359701378,1.83547807665036,2.24884053843283,0.176197793854471,0.176401406483766,-6.90180345765877,1.9136514529979,1.0900819610965,1.78077731300602,1.10257908012389,1.79407259354025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,10,1,0.458394488582899,0.458394488582899,0.458394488582899,-0.420656640684284,2.55627925538036,2.15804574398722,3.4194388807881,0.265777093727847,0.265841188771837,-7.12275684702896,6.2814435656604,2.03535615167378,3.07720235908695,1.63699701399441,2.67909447398002,2.6811191574607,0.159361093556293,0.174648733024915,-5.67565018930726,4.83433690793869,2.24393151201003,2.8686269987507,1.81573422725838,2.50035726071605,2.45113195459953,0.138157129191334,0.151992293729384,-5.22487527169936,4.38356199033079,2.28549128216535,2.82706722859538,1.86014084827762,2.45595063969681,1.70327767059426,0.238456548276097,0.210170143669029,-3.75908087504904,2.91776759368047,2.08890442075921,3.02365409000151,1.74611226239592,2.56997922557851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,10,2,0.301592964038604,0.301592964038604,0.301592964038604,-0.420656640684281,2.55729513247724,2.1580356955609,3.34903810078075,0.265617860562479,0.265862305778263,-6.98477131821454,6.14345803684598,2.03668412577478,3.0779061391797,1.6369455762355,2.67912581488629,2.58039885865,0.159872509357658,0.174978074042176,-5.47823840363828,4.63692512226972,2.24394501413623,2.87064525081825,1.81507867043823,2.50099272068356,2.24378528574535,0.138434037124264,0.16126732178999,-4.81847580074516,3.9771625193766,2.28596441971369,2.8286258452408,1.84195174485252,2.47411964626928,1.51947432703055,0.234825914389476,0.206896474279795,-3.39882632166417,2.55751304029561,2.09703634027387,3.01755392468062,1.7525186059725,2.5635527851493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,11,1,0.774130991172214,0.774130991172214,0.774130991172214,-0.935381812158736,2.31967611135278,2.0619374569172,8.28734026287938,0.438780493306297,0.513217438477458,-17.1785687274023,15.3078051030849,1.45966634447244,3.17968587823312,1.05603127750138,3.06784363633302,7.562123394423,0.345802778855306,0.443786077161451,-15.7571436652278,13.8863800409103,1.64190266479638,2.99744955790918,1.19211674568076,2.93175816815365,7.52037011458302,0.343849830958513,0.441873541633884,-15.6753072367415,13.804543612424,1.6457304426741,2.99362178003147,1.19586531531479,2.92800959851961,2.63136750103275,0.303316154807491,0.279553621989399,-6.09286211418292,4.22209848986545,1.7251764479301,2.91417577477546,1.51401235781798,2.60986255601642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,11,2,0.509326499329294,0.509326499329294,0.509326499329294,-0.935381812158729,2.37274424633719,2.22038257110249,10.260038442197,0.43652974769899,0.448819143026195,-21.0450571588649,19.1742935345474,1.51714594084716,3.22834255182721,1.34069705077115,3.10006809143383,9.83880336105448,0.367416297420422,0.395318823776492,-20.2194363998255,18.3486727755081,1.65260830339316,3.09288018928121,1.44555767650057,2.99520746570442,9.83408834852613,0.365127685480604,0.389767995723093,-20.2101949752699,18.3394313509525,1.6570939827952,3.08839450987917,1.45643729948523,2.98432784271975,6.58516736810761,0.379339320728294,0.371895074621046,-13.8423098536496,11.9715462293322,1.62923917770973,3.11624931496464,1.49146822484524,2.94929691735974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,12,1,0.300776003624634,0.300776003624634,0.300776003624634,-2.16856573738736,2.77134523413381,2.75789668145137,2.27503085134492,0.520346451497798,0.519190375752742,-6.62762620602342,2.29049473124869,1.75146618919813,3.79122427906949,1.74028354497599,3.77550981792674,1.20773399506888,0.351605289039865,0.350610898177919,-4.53572436772237,0.198592892947648,2.08219886761567,3.46049160065195,2.07069932102265,3.44509404188009,0.876269199438014,0.299481780033253,0.294214416390642,-3.88605336828587,-0.451078106488855,2.18436094526863,3.35832952299899,2.18123642532571,3.33455693757703,1.55161776006276,0.464125378768496,0.462665641952614,-5.20973654711037,0.872605072335648,1.86165949174756,3.68103097652006,1.85107202322424,3.66472133967849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,12,2,0.197890525964372,0.197890525964372,0.197890525964372,-2.16856573738736,2.77255335262032,2.7576921488673,4.54345380242476,0.519617455636492,0.519180250781397,-11.0737351901399,6.73660371536517,1.75410313957279,3.79100356566784,1.74009885733577,3.77528544039884,4.35490768724636,0.421362494838681,0.421707559108218,-10.7041848043902,6.36705332961549,1.9466828627365,3.59842384250413,1.9311453330152,3.58423896471941,4.33897605394578,0.415227292169653,0.405685805878046,-10.6729588031211,6.33582732834635,1.9587078599678,3.58639884527284,1.96254796934633,3.55283632838827,1.81856522670687,0.461996042014454,0.460467570227334,-5.73295358173283,1.39582210695811,1.86704111027199,3.67806559496865,1.85517571122173,3.66020858651288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,13,1,0.681698974635363,0.681698974635363,0.681698974635363,-1.55472647305696,1.43857056891526,1.52441150185809,2.89627579671575,0.136847426646414,0.140058259380238,-7.23142703461983,4.12197408850591,1.17034961268829,1.70679152514223,1.24989731347282,1.79892569024335,2.15181013139269,0.1009838851759,0.102900138991481,-5.77227433058663,2.66282138447272,1.2406421539705,1.63649898386003,1.32272722943478,1.72609577428139,2.11073475663581,0.0970204628741818,0.101304988379237,-5.69176659606315,2.58231364994923,1.24841046168187,1.62873067614866,1.32585372463478,1.72296927908139,2.03652645378932,0.148801183730025,0.149545194962698,-5.54631832248402,2.4368653763701,1.14692024880441,1.73022088902611,1.2313029197312,1.81752008398497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,13,2,0.448512404627602,0.448512404627602,0.448512404627602,-1.55472647305696,1.42970738100195,1.52441150162191,2.90090911676925,0.136640452487758,0.140058259453134,-7.24050834192469,4.13105539581078,1.16189209412594,1.69752266787795,1.24989731309376,1.79892569015005,2.15711413746709,0.101679115698096,0.103708302674056,-5.78267018249245,2.67321723637854,1.23041631423368,1.62899844777022,1.32114322838075,1.72767977486306,2.0048909259804,0.0986036321104029,0.100401892857766,-5.48431268797854,2.37485974186463,1.23644426206556,1.62297049993834,1.32762379162068,1.72119921162313,2.03421000144905,0.148513548319271,0.149434576355282,-5.5417780758971,2.43232512978319,1.13862082629618,1.72079393570772,1.23151973196555,1.81730327127826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
