"n","B","j","delta_lambda","kappa_IM","psi_delta","se_delta","lower_delta","upper_delta"
500,67,1,0.648747601627442,17922.2326218365,1.48961546453855,0.186730583684022,1.12362352051787,1.85560740855923
500,68,1,0.349792335418093,73986.5874259141,2.46210257579473,0.213092682933331,2.0444409172454,2.87976423434406
500,69,1,0.419385049629892,48129.455470384,2.83975620183489,0.327817733766045,2.19723344365344,3.48227896001634
500,70,1,0.478287283319342,398898.162666166,2.97454196091183,0.319357891338917,2.34860049388755,3.6004834279361
500,71,1,0.431759224999389,1647104.60029456,1.55378336075643,0.184493444461334,1.19217620961221,1.91539051190064
500,72,1,1.14964306299968,16.5008851453183,1.79808355040225,0.168820502760085,1.46719536499249,2.12897173581202
500,73,1,0.540788380848547,1050024.00870575,3.01218171140163,0.398213892965394,2.23168248118946,3.7926809416138
500,74,1,0.802654291917084,16.2737180516838,1.75794117245515,0.154658314136993,1.45481087674665,2.06107146816366
500,75,1,0.877608747895451,8640.8880206483,1.4794873626165,0.166350594711606,1.15344019698175,1.80553452825125
500,76,1,0.336149054752922,616885.062827815,3.63445163060868,0.479906827673703,2.69383424836822,4.57506901284914
500,77,1,0.635390401488553,15.3405454681024,1.22266873487933,0.178118834785988,0.873555818698796,1.57178165105987
500,78,1,0.430866239783632,406881.775232311,2.85530362671527,0.344129784029184,2.18080925001806,3.52979800341247
500,79,1,0.59735559816978,53434.723185337,2.08695500858839,0.202985122171161,1.68910416913291,2.48480584804386
500,80,1,0.335998506717399,12590638.5637215,2.68481445474244,0.285903486782626,2.12444362064849,3.24518528883638
500,81,1,0.303915768588297,63745397.0129923,2.83990080200124,0.373258530634684,2.10831408195726,3.57148752204522
500,82,1,0.266218726400538,2090417.80876067,3.32469957966197,0.46547032451224,2.41237774361798,4.23702141570596
500,83,1,0.225323697454656,31088963.4435598,3.22220606308686,0.598253557459136,2.04962909046696,4.39478303570677
500,84,1,0.690851981263315,113834.134115223,1.56554448044899,0.183759991573655,1.20537489696463,1.92571406393335
500,85,1,0.891699289787902,40.9107905073894,1.29853978726922,0.179513787543077,0.946692763684784,1.65038681085365
500,86,1,0.742630534719832,15.3282023291827,1.5172875118417,0.177196134327626,1.16998308855955,1.86459193512384
500,87,1,0.315294506157588,84130148.329954,3.13455209428085,0.581248988506967,1.9953040768072,4.27380011175451
500,88,1,0.654906053453457,48.4212849356301,1.47212785798253,0.172457886081846,1.13411040126211,1.81014531470295
500,89,1,0.686595946547506,75.0623826650471,1.2240576374112,0.14950446855409,0.931028879045179,1.51708639577721
500,90,1,0.867024796430708,15.386453076445,1.80453091577705,0.164318312463459,1.48246702334867,2.12659480820543
500,91,1,1.05009338092607,16.1238850035487,1.59840100704745,0.175372733437083,1.25467044951077,1.94213156458413
500,92,1,0.8131059492397,5075.13157473119,1.37062754632425,0.193898262815658,0.99058695120556,1.75066814144294
500,93,1,0.249959195867391,380442.872935295,4.70909674901608,0.621450811666908,3.49105315814894,5.92714033988321
500,94,1,0.321857796189908,269994.94002082,1.86749611841258,0.198097782227547,1.47922446524659,2.25576777157857
500,95,1,0.626968223750163,776012.401352221,1.57440598890396,0.212597904658438,1.15771409577342,1.9910978820345
500,96,1,0.972007027737633,15.5013347017519,1.25631239231693,0.174631788287217,0.914034087273983,1.59859069735988
500,97,1,0.330482390899676,1270712.16173576,4.79049957407429,0.622905955122473,3.56960390203425,6.01139524611434
500,98,1,1.26421409803685,3561.67572653132,1.22212153943948,0.180617581566774,0.868111079568608,1.57613199931036
500,99,1,0.699946350772232,348067.481531144,1.56453950626167,0.168199410631281,1.23486866142436,1.89421035109898
500,100,1,0.175723263555632,5979472.45759419,4.0614604694154,0.591463047703018,2.90219289591748,5.22072804291331
500,101,1,0.818698709574695,160433.585730507,1.96757753731539,0.172286895353375,1.62989522242278,2.30525985220801
500,102,1,0.550866886076674,168909.427900445,4.83570219602424,0.638611624921137,3.58402341117881,6.08738098086967
500,103,1,0.579283477217769,3245621.41659422,5.54823176154968,0.675264485697436,4.22471336958271,6.87175015351665
500,104,1,0.706870112222615,4261.09169331613,1.33786629082364,0.176816255674858,0.991306429700915,1.68442615194636
500,105,1,0.846244076614725,2418.91712562195,1.41929701795934,0.165650175558643,1.0946226738644,1.74397136205428
500,106,1,0.693207169820496,21991.6596642037,2.01607448694029,0.199012969148214,1.62600906740979,2.40613990647079
500,107,1,0.187939423389951,1616652.81081584,2.25502439606972,0.695544645700237,0.891756890497253,3.61829190164218
500,108,1,0.905384997300989,6992.78975388498,1.94956207898751,0.270754007988016,1.418884223331,2.48023993464402
500,109,1,0.528535885548405,4037966.87327659,1.98847282653474,0.231742661569985,1.53425720985756,2.44268844321191
500,110,1,0.737152287500886,21591.043924596,2.03024675504724,0.213559840453817,1.61166946775776,2.44882404233672
500,111,1,0.87618344511119,121001.245107789,1.65854762691449,0.181540005986165,1.30272921518161,2.01436603864737
500,112,1,1.05225978710885,1325.95037709661,1.39526906330515,0.181711752299827,1.03911402879749,1.75142409781282
500,113,1,0.617026719163061,10.5414524936648,1.54750767968883,0.171509795130983,1.21134848123211,1.88366687814556
500,114,1,0.523337693227451,669440.923919422,2.86828098744334,0.313070106435558,2.25466357882965,3.48189839605704
